Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Great Britain,Great Britain,GB,53.31,92.54,87.08,61.02,bmreports.com,false,
2022-01-01 01:00:00,Great Britain,Great Britain,GB,55.68,95.36,87.73,62.93,bmreports.com,false,
2022-01-01 02:00:00,Great Britain,Great Britain,GB,55.02,94.92,87.96,63.8,bmreports.com,false,
2022-01-01 03:00:00,Great Britain,Great Britain,GB,49.6,87.69,89.57,65.5,bmreports.com,false,
2022-01-01 04:00:00,Great Britain,Great Britain,GB,49.39,87.75,89.63,65.24,bmreports.com,false,
2022-01-01 05:00:00,Great Britain,Great Britain,GB,48.2,86.94,89.86,65.23,bmreports.com,false,
2022-01-01 06:00:00,Great Britain,Great Britain,GB,44.13,81.54,90.63,66.64,bmreports.com,false,
2022-01-01 07:00:00,Great Britain,Great Britain,GB,40.78,76.04,90.85,66.66,bmreports.com,false,
2022-01-01 08:00:00,Great Britain,Great Britain,GB,40.9,74.79,89.89,65.8,bmreports.com,false,
2022-01-01 09:00:00,Great Britain,Great Britain,GB,42.37,76.91,88.79,65.41,bmreports.com,false,
2022-01-01 10:00:00,Great Britain,Great Britain,GB,37.94,71.54,89.92,66.77,bmreports.com,false,
2022-01-01 11:00:00,Great Britain,Great Britain,GB,38.07,72.16,90.08,67.25,bmreports.com,false,
2022-01-01 12:00:00,Great Britain,Great Britain,GB,48.82,86.62,87.62,65.43,bmreports.com,false,
2022-01-01 13:00:00,Great Britain,Great Britain,GB,46.4,83.98,87.9,64.29,bmreports.com,false,
2022-01-01 14:00:00,Great Britain,Great Britain,GB,48.27,85.99,87.4,63.43,bmreports.com,false,
2022-01-01 15:00:00,Great Britain,Great Britain,GB,59.21,98.35,84.6,61.0,bmreports.com,false,
2022-01-01 16:00:00,Great Britain,Great Britain,GB,69.21,112.15,82.11,60.26,bmreports.com,false,
2022-01-01 17:00:00,Great Britain,Great Britain,GB,71.4,115.12,81.9,60.05,bmreports.com,false,
2022-01-01 18:00:00,Great Britain,Great Britain,GB,72.28,115.95,81.54,60.21,bmreports.com,false,
2022-01-01 19:00:00,Great Britain,Great Britain,GB,62.97,103.12,84.14,60.4,bmreports.com,false,
2022-01-01 20:00:00,Great Britain,Great Britain,GB,65.11,106.31,83.27,59.08,bmreports.com,false,
2022-01-01 21:00:00,Great Britain,Great Britain,GB,53.39,90.81,86.7,60.21,bmreports.com,false,
2022-01-01 22:00:00,Great Britain,Great Britain,GB,48.26,85.89,87.9,61.91,bmreports.com,false,
2022-01-01 23:00:00,Great Britain,Great Britain,GB,45.12,83.57,88.83,63.39,bmreports.com,false,
2022-01-02 00:00:00,Great Britain,Great Britain,GB,41.16,78.72,90.86,64.82,bmreports.com,false,
2022-01-02 01:00:00,Great Britain,Great Britain,GB,45.4,84.08,90.61,64.65,bmreports.com,false,
2022-01-02 02:00:00,Great Britain,Great Britain,GB,43.22,81.65,91.46,65.95,bmreports.com,false,
2022-01-02 03:00:00,Great Britain,Great Britain,GB,42.83,81.13,91.63,66.56,bmreports.com,false,
2022-01-02 04:00:00,Great Britain,Great Britain,GB,44.47,83.46,91.06,66.09,bmreports.com,false,
2022-01-02 05:00:00,Great Britain,Great Britain,GB,47.59,87.14,90.07,65.71,bmreports.com,false,
2022-01-02 06:00:00,Great Britain,Great Britain,GB,45.95,85.01,90.35,66.29,bmreports.com,false,
2022-01-02 07:00:00,Great Britain,Great Britain,GB,40.38,77.73,90.98,66.43,bmreports.com,false,
2022-01-02 08:00:00,Great Britain,Great Britain,GB,52.04,90.31,87.2,62.67,bmreports.com,false,
2022-01-02 09:00:00,Great Britain,Great Britain,GB,50.96,88.94,86.77,63.59,bmreports.com,false,
2022-01-02 10:00:00,Great Britain,Great Britain,GB,49.92,88.15,87.05,63.92,bmreports.com,false,
2022-01-02 11:00:00,Great Britain,Great Britain,GB,55.54,95.86,85.57,63.67,bmreports.com,false,
2022-01-02 12:00:00,Great Britain,Great Britain,GB,56.68,96.34,85.45,62.84,bmreports.com,false,
2022-01-02 13:00:00,Great Britain,Great Britain,GB,60.73,99.94,84.36,61.42,bmreports.com,false,
2022-01-02 14:00:00,Great Britain,Great Britain,GB,64.86,105.81,83.1,60.75,bmreports.com,false,
2022-01-02 15:00:00,Great Britain,Great Britain,GB,75.52,119.36,80.23,59.04,bmreports.com,false,
2022-01-02 16:00:00,Great Britain,Great Britain,GB,83.77,130.9,78.39,58.11,bmreports.com,false,
2022-01-02 17:00:00,Great Britain,Great Britain,GB,80.92,127.15,79.4,58.66,bmreports.com,false,
2022-01-02 18:00:00,Great Britain,Great Britain,GB,75.85,119.79,80.3,58.47,bmreports.com,false,
2022-01-02 19:00:00,Great Britain,Great Britain,GB,65.31,105.66,83.07,60.75,bmreports.com,false,
2022-01-02 20:00:00,Great Britain,Great Britain,GB,49.49,85.68,87.35,64.64,bmreports.com,false,
2022-01-02 21:00:00,Great Britain,Great Britain,GB,40.67,76.8,89.55,66.11,bmreports.com,false,
2022-01-02 22:00:00,Great Britain,Great Britain,GB,44.94,83.89,88.3,65.46,bmreports.com,false,
2022-01-02 23:00:00,Great Britain,Great Britain,GB,48.98,89.08,89.1,65.65,bmreports.com,false,
2022-01-03 00:00:00,Great Britain,Great Britain,GB,48.05,87.18,89.59,65.62,bmreports.com,false,
2022-01-03 01:00:00,Great Britain,Great Britain,GB,43.4,80.7,91.27,66.82,bmreports.com,false,
2022-01-03 02:00:00,Great Britain,Great Britain,GB,41.05,78.54,91.86,67.2,bmreports.com,false,
2022-01-03 03:00:00,Great Britain,Great Britain,GB,40.87,78.94,91.91,67.03,bmreports.com,false,
2022-01-03 04:00:00,Great Britain,Great Britain,GB,39.37,77.46,92.16,66.77,bmreports.com,false,
2022-01-03 05:00:00,Great Britain,Great Britain,GB,43.31,81.42,90.91,67.66,bmreports.com,false,
2022-01-03 06:00:00,Great Britain,Great Britain,GB,49.13,89.32,88.83,66.36,bmreports.com,false,
