Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Australia,Queensland,AU-QLD,479.11,534.43,36.17,36.17,opennem.org.au,false,
2022-01-01 01:00:00,Australia,Queensland,AU-QLD,481.27,536.49,35.89,35.89,opennem.org.au,false,
2022-01-01 02:00:00,Australia,Queensland,AU-QLD,477.07,532.01,36.49,36.49,opennem.org.au,false,
2022-01-01 03:00:00,Australia,Queensland,AU-QLD,472.11,526.93,37.14,37.14,opennem.org.au,false,
2022-01-01 04:00:00,Australia,Queensland,AU-QLD,503.73,559.25,32.94,32.94,opennem.org.au,false,
2022-01-01 05:00:00,Australia,Queensland,AU-QLD,512.34,568.82,31.29,31.29,opennem.org.au,false,
2022-01-01 06:00:00,Australia,Queensland,AU-QLD,518.83,575.78,29.68,29.68,opennem.org.au,false,
2022-01-01 07:00:00,Australia,Queensland,AU-QLD,549.79,607.35,24.92,24.92,opennem.org.au,false,
2022-01-01 08:00:00,Australia,Queensland,AU-QLD,626.25,686.97,13.61,13.61,opennem.org.au,false,
2022-01-01 09:00:00,Australia,Queensland,AU-QLD,650.41,712.25,9.66,9.66,opennem.org.au,false,
2022-01-01 10:00:00,Australia,Queensland,AU-QLD,654.44,716.81,8.87,8.87,opennem.org.au,false,
2022-01-01 11:00:00,Australia,Queensland,AU-QLD,668.5,731.01,7.29,7.29,opennem.org.au,false,
2022-01-01 12:00:00,Australia,Queensland,AU-QLD,686.97,748.87,5.94,5.94,opennem.org.au,false,
2022-01-01 13:00:00,Australia,Queensland,AU-QLD,719.85,782.34,2.27,2.27,opennem.org.au,false,
2022-01-01 14:00:00,Australia,Queensland,AU-QLD,725.19,787.9,1.61,1.61,opennem.org.au,false,
2022-01-01 15:00:00,Australia,Queensland,AU-QLD,733.91,797.23,0.43,0.43,opennem.org.au,false,
2022-01-01 16:00:00,Australia,Queensland,AU-QLD,738.82,801.11,0.59,0.59,opennem.org.au,false,
2022-01-01 17:00:00,Australia,Queensland,AU-QLD,743.89,804.71,1.0,1.0,opennem.org.au,false,
2022-01-01 18:00:00,Australia,Queensland,AU-QLD,744.48,805.37,0.92,0.92,opennem.org.au,false,
