Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Australia,South Australia,AU-SA,88.99,144.64,75.95,75.95,opennem.org.au,false,
2022-01-01 01:00:00,Australia,South Australia,AU-SA,80.12,132.79,78.35,78.35,opennem.org.au,false,
2022-01-01 02:00:00,Australia,South Australia,AU-SA,92.36,146.13,75.04,75.04,opennem.org.au,false,
2022-01-01 03:00:00,Australia,South Australia,AU-SA,116.53,178.2,68.63,68.63,opennem.org.au,false,
2022-01-01 04:00:00,Australia,South Australia,AU-SA,139.94,208.4,62.18,62.18,opennem.org.au,false,
2022-01-01 05:00:00,Australia,South Australia,AU-SA,183.13,261.8,50.88,50.88,opennem.org.au,false,
2022-01-01 06:00:00,Australia,South Australia,AU-SA,195.19,274.8,47.36,47.36,opennem.org.au,false,
2022-01-01 07:00:00,Australia,South Australia,AU-SA,240.47,330.32,35.25,35.25,opennem.org.au,false,
2022-01-01 08:00:00,Australia,South Australia,AU-SA,231.0,315.15,37.59,37.59,opennem.org.au,false,
2022-01-01 09:00:00,Australia,South Australia,AU-SA,222.72,301.11,40.17,40.17,opennem.org.au,false,
2022-01-01 10:00:00,Australia,South Australia,AU-SA,248.35,332.4,33.12,33.12,opennem.org.au,false,
2022-01-01 11:00:00,Australia,South Australia,AU-SA,261.27,347.98,30.36,30.36,opennem.org.au,false,
2022-01-01 12:00:00,Australia,South Australia,AU-SA,239.74,320.5,35.88,35.88,opennem.org.au,false,
2022-01-01 13:00:00,Australia,South Australia,AU-SA,201.89,270.78,46.67,46.67,opennem.org.au,false,
2022-01-01 14:00:00,Australia,South Australia,AU-SA,208.77,279.66,44.83,44.83,opennem.org.au,false,
2022-01-01 15:00:00,Australia,South Australia,AU-SA,236.71,316.02,37.13,37.13,opennem.org.au,false,
2022-01-01 16:00:00,Australia,South Australia,AU-SA,245.95,328.51,34.23,34.23,opennem.org.au,false,
2022-01-01 17:00:00,Australia,South Australia,AU-SA,245.35,328.27,33.97,33.97,opennem.org.au,false,
2022-01-01 18:00:00,Australia,South Australia,AU-SA,232.42,311.89,37.18,37.18,opennem.org.au,false,
2022-01-01 19:00:00,Australia,South Australia,AU-SA,227.41,305.41,38.54,38.54,opennem.org.au,false,
2022-01-01 20:00:00,Australia,South Australia,AU-SA,202.28,275.91,45.33,45.33,opennem.org.au,false,
2022-01-01 21:00:00,Australia,South Australia,AU-SA,124.22,187.29,66.43,66.43,opennem.org.au,false,
