Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Australia,Tasmania,AU-TAS,0.0,24.51,100.0,100.0,opennem.org.au,false,
2022-01-01 01:00:00,Australia,Tasmania,AU-TAS,0.0,24.1,100.0,100.0,opennem.org.au,false,
2022-01-01 02:00:00,Australia,Tasmania,AU-TAS,0.0,24.56,100.0,100.0,opennem.org.au,false,
2022-01-01 03:00:00,Australia,Tasmania,AU-TAS,0.0,24.03,100.0,100.0,opennem.org.au,false,
2022-01-01 04:00:00,Australia,Tasmania,AU-TAS,0.0,23.57,100.0,100.0,opennem.org.au,false,
2022-01-01 05:00:00,Australia,Tasmania,AU-TAS,0.0,23.32,100.0,100.0,opennem.org.au,false,
2022-01-01 06:00:00,Australia,Tasmania,AU-TAS,0.0,23.05,100.0,100.0,opennem.org.au,false,
2022-01-01 07:00:00,Australia,Tasmania,AU-TAS,0.0,22.98,100.0,100.0,opennem.org.au,false,
2022-01-01 08:00:00,Australia,Tasmania,AU-TAS,0.0,22.99,100.0,100.0,opennem.org.au,false,
2022-01-01 09:00:00,Australia,Tasmania,AU-TAS,0.0,22.89,100.0,100.0,opennem.org.au,false,
2022-01-01 10:00:00,Australia,Tasmania,AU-TAS,0.0,22.77,100.0,100.0,opennem.org.au,false,
2022-01-01 11:00:00,Australia,Tasmania,AU-TAS,0.0,23.28,100.0,100.0,opennem.org.au,false,
2022-01-01 12:00:00,Australia,Tasmania,AU-TAS,0.0,23.07,100.0,100.0,opennem.org.au,false,
2022-01-01 13:00:00,Australia,Tasmania,AU-TAS,0.0,23.02,100.0,100.0,opennem.org.au,false,
2022-01-01 14:00:00,Australia,Tasmania,AU-TAS,0.0,23.27,100.0,100.0,opennem.org.au,false,
2022-01-01 15:00:00,Australia,Tasmania,AU-TAS,0.0,23.44,100.0,100.0,opennem.org.au,false,
2022-01-01 16:00:00,Australia,Tasmania,AU-TAS,0.0,22.93,100.0,100.0,opennem.org.au,false,
2022-01-01 17:00:00,Australia,Tasmania,AU-TAS,0.0,23.34,100.0,100.0,opennem.org.au,false,
2022-01-01 18:00:00,Australia,Tasmania,AU-TAS,0.0,23.4,100.0,100.0,opennem.org.au,false,
2022-01-01 19:00:00,Australia,Tasmania,AU-TAS,0.0,23.41,100.0,100.0,opennem.org.au,false,
2022-01-01 20:00:00,Australia,Tasmania,AU-TAS,0.0,23.25,100.0,100.0,opennem.org.au,false,
2022-01-01 21:00:00,Australia,Tasmania,AU-TAS,0.0,22.91,100.0,100.0,opennem.org.au,false,
