Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Australia,Western Australia,AU-WA,246.99,306.57,57.96,57.96,opennem.org.au,false,
2022-01-01 01:00:00,Australia,Western Australia,AU-WA,203.49,259.4,66.24,66.24,opennem.org.au,false,
2022-01-01 02:00:00,Australia,Western Australia,AU-WA,191.38,248.2,67.75,67.75,opennem.org.au,false,
2022-01-01 03:00:00,Australia,Western Australia,AU-WA,187.31,244.44,68.11,68.11,opennem.org.au,false,
2022-01-01 04:00:00,Australia,Western Australia,AU-WA,174.13,228.12,71.04,71.04,opennem.org.au,false,
2022-01-01 05:00:00,Australia,Western Australia,AU-WA,171.96,225.33,71.25,71.25,opennem.org.au,false,
2022-01-01 06:00:00,Australia,Western Australia,AU-WA,180.28,235.57,68.34,68.34,opennem.org.au,false,
2022-01-01 07:00:00,Australia,Western Australia,AU-WA,181.98,235.48,67.87,67.87,opennem.org.au,false,
2022-01-01 08:00:00,Australia,Western Australia,AU-WA,233.69,287.27,60.91,60.91,opennem.org.au,false,
2022-01-01 09:00:00,Australia,Western Australia,AU-WA,300.65,359.81,48.56,48.56,opennem.org.au,false,
2022-01-01 10:00:00,Australia,Western Australia,AU-WA,358.44,424.3,36.22,36.22,opennem.org.au,false,
2022-01-01 11:00:00,Australia,Western Australia,AU-WA,388.72,456.79,30.39,30.39,opennem.org.au,false,
2022-01-01 12:00:00,Australia,Western Australia,AU-WA,393.85,460.28,30.64,30.64,opennem.org.au,false,
2022-01-01 13:00:00,Australia,Western Australia,AU-WA,392.98,456.53,32.57,32.57,opennem.org.au,false,
2022-01-01 14:00:00,Australia,Western Australia,AU-WA,377.71,434.22,38.16,38.16,opennem.org.au,false,
2022-01-01 15:00:00,Australia,Western Australia,AU-WA,377.87,434.87,37.88,37.88,opennem.org.au,false,
2022-01-01 16:00:00,Australia,Western Australia,AU-WA,378.71,435.05,38.23,38.23,opennem.org.au,false,
2022-01-01 17:00:00,Australia,Western Australia,AU-WA,378.75,435.27,38.14,38.14,opennem.org.au,false,
2022-01-01 18:00:00,Australia,Western Australia,AU-WA,371.66,425.36,40.5,40.5,opennem.org.au,false,
2022-01-01 19:00:00,Australia,Western Australia,AU-WA,363.87,416.21,42.05,42.05,opennem.org.au,false,
2022-01-01 20:00:00,Australia,Western Australia,AU-WA,365.29,417.6,41.7,41.7,opennem.org.au,false,
2022-01-01 21:00:00,Australia,Western Australia,AU-WA,363.69,416.13,42.34,42.34,opennem.org.au,false,
2022-01-01 22:00:00,Australia,Western Australia,AU-WA,303.79,355.78,50.8,50.8,opennem.org.au,false,
