Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Belgium,Belgium,BE,82.89,120.54,82.5,27.37,entsoe.eu,false,
2022-01-01 01:00:00,Belgium,Belgium,BE,87.72,126.05,81.47,27.15,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 02:00:00,Belgium,Belgium,BE,74.17,110.5,83.8,27.44,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 03:00:00,Belgium,Belgium,BE,69.65,105.38,84.43,27.13,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 04:00:00,Belgium,Belgium,BE,66.83,102.27,84.91,26.97,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 05:00:00,Belgium,Belgium,BE,66.55,102.2,84.99,27.5,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 06:00:00,Belgium,Belgium,BE,72.68,110.15,83.65,26.87,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 07:00:00,Belgium,Belgium,BE,75.89,114.06,83.04,27.17,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 08:00:00,Belgium,Belgium,BE,76.23,114.14,82.92,28.24,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 09:00:00,Belgium,Belgium,BE,78.8,117.35,82.35,28.64,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 10:00:00,Belgium,Belgium,BE,78.68,117.23,82.45,27.92,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 11:00:00,Belgium,Belgium,BE,81.29,120.62,81.9,28.92,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 12:00:00,Belgium,Belgium,BE,79.12,117.97,82.31,29.31,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 13:00:00,Belgium,Belgium,BE,77.86,116.24,82.45,28.81,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 14:00:00,Belgium,Belgium,BE,77.14,114.61,82.52,27.0,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 15:00:00,Belgium,Belgium,BE,80.96,119.06,81.64,25.67,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 16:00:00,Belgium,Belgium,BE,90.75,131.6,79.25,25.33,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 17:00:00,Belgium,Belgium,BE,97.07,138.27,78.79,27.04,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 18:00:00,Belgium,Belgium,BE,96.28,137.38,79.02,27.52,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 19:00:00,Belgium,Belgium,BE,87.45,127.3,80.27,27.09,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
