Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Bulgaria,Bulgaria,BG,486.37,507.94,48.58,10.26,eso.bg,false,
2022-01-01 01:00:00,Bulgaria,Bulgaria,BG,508.47,529.98,46.51,8.19,eso.bg,false,
2022-01-01 02:00:00,Bulgaria,Bulgaria,BG,502.69,524.66,46.93,8.63,eso.bg,false,
2022-01-01 03:00:00,Bulgaria,Bulgaria,BG,500.93,523.24,47.0,8.33,eso.bg,false,
2022-01-01 04:00:00,Bulgaria,Bulgaria,BG,503.77,525.65,46.78,7.67,eso.bg,false,
2022-01-01 05:00:00,Bulgaria,Bulgaria,BG,498.18,520.0,47.32,8.52,eso.bg,false,
2022-01-01 06:00:00,Bulgaria,Bulgaria,BG,488.28,510.01,48.2,9.13,eso.bg,false,
2022-01-01 07:00:00,Bulgaria,Bulgaria,BG,471.69,492.87,50.07,12.56,eso.bg,false,
2022-01-01 08:00:00,Bulgaria,Bulgaria,BG,474.91,495.92,49.97,13.66,eso.bg,false,
2022-01-01 09:00:00,Bulgaria,Bulgaria,BG,470.88,491.89,50.43,14.43,eso.bg,false,
2022-01-01 10:00:00,Bulgaria,Bulgaria,BG,462.18,483.33,51.28,15.07,eso.bg,false,
2022-01-01 11:00:00,Bulgaria,Bulgaria,BG,476.01,497.13,50.11,14.13,eso.bg,false,
2022-01-01 12:00:00,Bulgaria,Bulgaria,BG,476.13,497.36,50.06,13.6,eso.bg,false,
2022-01-01 13:00:00,Bulgaria,Bulgaria,BG,480.45,501.02,49.67,13.05,eso.bg,false,
2022-01-01 14:00:00,Bulgaria,Bulgaria,BG,468.18,488.46,50.86,14.71,eso.bg,false,
2022-01-01 15:00:00,Bulgaria,Bulgaria,BG,463.52,482.83,51.78,18.86,eso.bg,false,
2022-01-01 16:00:00,Bulgaria,Bulgaria,BG,449.24,468.12,53.38,22.1,eso.bg,false,
2022-01-01 17:00:00,Bulgaria,Bulgaria,BG,445.24,464.07,53.78,22.78,eso.bg,false,
2022-01-01 18:00:00,Bulgaria,Bulgaria,BG,450.69,469.7,53.14,21.58,eso.bg,false,
2022-01-01 19:00:00,Bulgaria,Bulgaria,BG,451.15,470.4,52.95,20.27,eso.bg,false,
2022-01-01 20:00:00,Bulgaria,Bulgaria,BG,457.69,477.52,51.96,16.6,eso.bg,false,
2022-01-01 21:00:00,Bulgaria,Bulgaria,BG,460.86,481.54,51.38,14.73,eso.bg,false,
2022-01-01 22:00:00,Bulgaria,Bulgaria,BG,478.99,500.32,49.51,11.56,eso.bg,false,
2022-01-01 23:00:00,Bulgaria,Bulgaria,BG,464.11,485.8,50.75,11.24,eso.bg,false,
2022-01-02 00:00:00,Bulgaria,Bulgaria,BG,465.52,488.22,50.39,10.67,eso.bg,false,
2022-01-02 01:00:00,Bulgaria,Bulgaria,BG,457.56,480.46,51.06,11.14,eso.bg,false,
2022-01-02 02:00:00,Bulgaria,Bulgaria,BG,455.96,479.12,51.15,11.22,eso.bg,false,
2022-01-02 03:00:00,Bulgaria,Bulgaria,BG,449.43,472.7,51.81,12.42,eso.bg,false,
2022-01-02 04:00:00,Bulgaria,Bulgaria,BG,451.57,474.6,51.64,12.03,eso.bg,false,
2022-01-02 05:00:00,Bulgaria,Bulgaria,BG,459.22,481.7,51.09,11.43,eso.bg,false,
2022-01-02 06:00:00,Bulgaria,Bulgaria,BG,453.53,475.74,51.78,13.1,eso.bg,false,
2022-01-02 07:00:00,Bulgaria,Bulgaria,BG,435.37,457.54,53.54,16.24,eso.bg,false,
2022-01-02 08:00:00,Bulgaria,Bulgaria,BG,422.41,444.47,54.87,18.23,eso.bg,false,
2022-01-02 09:00:00,Bulgaria,Bulgaria,BG,438.31,460.12,53.43,16.43,eso.bg,false,
2022-01-02 10:00:00,Bulgaria,Bulgaria,BG,437.39,459.41,53.45,15.93,eso.bg,false,
2022-01-02 11:00:00,Bulgaria,Bulgaria,BG,443.58,465.56,52.81,14.5,eso.bg,false,
2022-01-02 12:00:00,Bulgaria,Bulgaria,BG,450.61,472.47,52.01,12.45,eso.bg,false,
2022-01-02 13:00:00,Bulgaria,Bulgaria,BG,491.45,512.42,48.54,11.03,eso.bg,false,
2022-01-02 14:00:00,Bulgaria,Bulgaria,BG,513.91,533.88,46.7,11.11,eso.bg,false,
2022-01-02 15:00:00,Bulgaria,Bulgaria,BG,480.91,499.93,50.22,17.54,eso.bg,false,
2022-01-02 16:00:00,Bulgaria,Bulgaria,BG,455.29,473.96,52.81,21.82,eso.bg,false,
