Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Switzerland,Switzerland,CH,64.7,97.76,92.13,57.18,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 01:00:00,Switzerland,Switzerland,CH,69.88,102.91,91.63,56.22,Electricity Maps Estimation,false,
2022-01-01 02:00:00,Switzerland,Switzerland,CH,71.28,104.53,91.44,55.34,Electricity Maps Estimation,false,
2022-01-01 03:00:00,Switzerland,Switzerland,CH,67.11,100.49,91.74,54.43,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 04:00:00,Switzerland,Switzerland,CH,71.63,105.49,91.25,53.52,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 05:00:00,Switzerland,Switzerland,CH,74.25,108.25,91.09,54.26,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 06:00:00,Switzerland,Switzerland,CH,75.18,108.93,91.02,53.41,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 07:00:00,Switzerland,Switzerland,CH,71.34,104.66,91.21,50.3,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 08:00:00,Switzerland,Switzerland,CH,70.85,103.38,91.31,49.7,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 09:00:00,Switzerland,Switzerland,CH,59.39,90.22,92.52,48.5,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 10:00:00,Switzerland,Switzerland,CH,41.7,70.17,94.45,48.15,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 11:00:00,Switzerland,Switzerland,CH,45.37,75.67,94.21,52.29,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 12:00:00,Switzerland,Switzerland,CH,39.1,68.28,94.93,50.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 13:00:00,Switzerland,Switzerland,CH,42.44,70.4,94.72,47.28,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 14:00:00,Switzerland,Switzerland,CH,46.94,74.3,94.19,44.55,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 15:00:00,Switzerland,Switzerland,CH,55.73,82.87,93.54,42.56,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 16:00:00,Switzerland,Switzerland,CH,64.06,90.85,93.15,43.65,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 17:00:00,Switzerland,Switzerland,CH,75.48,103.07,92.54,48.57,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 18:00:00,Switzerland,Switzerland,CH,84.79,114.91,91.26,48.87,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 19:00:00,Switzerland,Switzerland,CH,82.22,113.08,91.2,49.97,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 20:00:00,Switzerland,Switzerland,CH,74.19,104.88,91.59,48.76,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 21:00:00,Switzerland,Switzerland,CH,80.2,111.93,91.05,50.49,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 22:00:00,Switzerland,Switzerland,CH,71.77,104.19,91.45,51.56,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 23:00:00,Switzerland,Switzerland,CH,66.12,97.56,91.69,47.35,Electricity Maps Estimation,false,
2022-01-02 00:00:00,Switzerland,Switzerland,CH,71.64,103.85,91.09,47.57,Electricity Maps Estimation,false,
2022-01-02 01:00:00,Switzerland,Switzerland,CH,70.17,102.32,91.2,46.69,Electricity Maps Estimation,false,
2022-01-02 02:00:00,Switzerland,Switzerland,CH,68.26,100.52,91.42,47.34,Electricity Maps Estimation,false,
2022-01-02 03:00:00,Switzerland,Switzerland,CH,63.22,95.42,91.82,47.21,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
