Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Costa Rica,Costa Rica,CR,7.79,31.71,98.65,98.65,grupoice.com,false,
2022-01-01 01:00:00,Costa Rica,Costa Rica,CR,8.14,32.08,98.58,98.58,grupoice.com,false,
2022-01-01 02:00:00,Costa Rica,Costa Rica,CR,5.9,30.52,98.97,98.97,grupoice.com,false,
2022-01-01 03:00:00,Costa Rica,Costa Rica,CR,4.48,29.87,99.22,99.22,grupoice.com,false,
2022-01-01 04:00:00,Costa Rica,Costa Rica,CR,0.83,27.27,99.86,99.86,grupoice.com,false,
2022-01-01 05:00:00,Costa Rica,Costa Rica,CR,0.86,27.57,99.85,99.85,grupoice.com,false,
2022-01-01 06:00:00,Costa Rica,Costa Rica,CR,0.96,28.05,99.83,99.83,grupoice.com,false,
2022-01-01 07:00:00,Costa Rica,Costa Rica,CR,0.96,27.77,99.83,99.83,grupoice.com,false,
2022-01-01 08:00:00,Costa Rica,Costa Rica,CR,1.0,28.31,99.83,99.83,grupoice.com,false,
2022-01-01 09:00:00,Costa Rica,Costa Rica,CR,1.01,28.12,99.82,99.82,grupoice.com,false,
2022-01-01 10:00:00,Costa Rica,Costa Rica,CR,1.06,28.19,99.82,99.82,grupoice.com,false,
2022-01-01 11:00:00,Costa Rica,Costa Rica,CR,1.06,28.0,99.82,99.82,grupoice.com,false,
2022-01-01 12:00:00,Costa Rica,Costa Rica,CR,4.03,30.5,99.3,99.3,grupoice.com,false,
2022-01-01 13:00:00,Costa Rica,Costa Rica,CR,8.43,33.63,98.53,98.53,grupoice.com,false,
2022-01-01 14:00:00,Costa Rica,Costa Rica,CR,7.56,32.83,98.69,98.69,grupoice.com,false,
2022-01-01 15:00:00,Costa Rica,Costa Rica,CR,6.76,31.99,98.82,98.82,grupoice.com,false,
2022-01-01 16:00:00,Costa Rica,Costa Rica,CR,8.66,33.54,98.49,98.49,grupoice.com,false,
2022-01-01 17:00:00,Costa Rica,Costa Rica,CR,9.95,34.69,98.27,98.27,grupoice.com,false,
2022-01-01 18:00:00,Costa Rica,Costa Rica,CR,8.73,33.99,98.48,98.48,grupoice.com,false,
2022-01-01 19:00:00,Costa Rica,Costa Rica,CR,6.26,32.05,98.91,98.91,grupoice.com,false,
2022-01-01 20:00:00,Costa Rica,Costa Rica,CR,1.03,28.12,99.82,99.82,grupoice.com,false,
2022-01-01 21:00:00,Costa Rica,Costa Rica,CR,0.84,28.41,99.85,99.85,grupoice.com,false,
2022-01-01 22:00:00,Costa Rica,Costa Rica,CR,0.86,28.45,99.85,99.85,grupoice.com,false,
2022-01-01 23:00:00,Costa Rica,Costa Rica,CR,4.95,31.1,99.14,99.14,grupoice.com,false,
2022-01-02 00:00:00,Costa Rica,Costa Rica,CR,7.75,32.99,98.65,98.65,grupoice.com,false,
2022-01-02 01:00:00,Costa Rica,Costa Rica,CR,7.05,32.6,98.77,98.77,grupoice.com,false,
2022-01-02 02:00:00,Costa Rica,Costa Rica,CR,5.83,31.74,98.99,98.99,grupoice.com,false,
2022-01-02 03:00:00,Costa Rica,Costa Rica,CR,1.02,28.34,99.82,99.82,grupoice.com,false,
2022-01-02 04:00:00,Costa Rica,Costa Rica,CR,0.88,28.36,99.85,99.85,grupoice.com,false,
2022-01-02 05:00:00,Costa Rica,Costa Rica,CR,0.95,28.54,99.83,99.83,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-02 06:00:00,Costa Rica,Costa Rica,CR,1.03,28.74,99.82,99.82,grupoice.com,false,
2022-01-02 07:00:00,Costa Rica,Costa Rica,CR,1.04,28.41,99.82,99.82,grupoice.com,false,
2022-01-02 08:00:00,Costa Rica,Costa Rica,CR,1.06,28.41,99.82,99.82,grupoice.com,false,
2022-01-02 09:00:00,Costa Rica,Costa Rica,CR,1.07,28.17,99.81,99.81,grupoice.com,false,
2022-01-02 10:00:00,Costa Rica,Costa Rica,CR,1.06,28.06,99.82,99.82,grupoice.com,false,
2022-01-02 11:00:00,Costa Rica,Costa Rica,CR,3.35,29.7,99.42,99.42,grupoice.com,false,
2022-01-02 12:00:00,Costa Rica,Costa Rica,CR,5.64,31.42,99.02,99.02,grupoice.com,false,
2022-01-02 13:00:00,Costa Rica,Costa Rica,CR,7.97,33.15,98.61,98.61,grupoice.com,false,
2022-01-02 14:00:00,Costa Rica,Costa Rica,CR,4.14,30.07,99.28,99.28,grupoice.com,false,
