Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Cyprus,Cyprus,CY,810.77,1028.82,12.44,12.44,tsoc.org.cy,false,
2022-01-01 01:00:00,Cyprus,Cyprus,CY,815.1,1034.51,11.97,11.97,tsoc.org.cy,false,
2022-01-01 02:00:00,Cyprus,Cyprus,CY,802.1,1018.42,13.38,13.37,tsoc.org.cy,false,
2022-01-01 03:00:00,Cyprus,Cyprus,CY,796.95,1012.04,13.93,13.93,tsoc.org.cy,false,
2022-01-01 04:00:00,Cyprus,Cyprus,CY,790.84,1004.36,14.59,14.59,tsoc.org.cy,false,
2022-01-01 05:00:00,Cyprus,Cyprus,CY,823.38,1045.12,11.08,11.08,tsoc.org.cy,false,
2022-01-01 06:00:00,Cyprus,Cyprus,CY,804.16,1021.87,13.15,13.15,tsoc.org.cy,false,
2022-01-01 07:00:00,Cyprus,Cyprus,CY,731.82,932.33,20.97,20.97,tsoc.org.cy,false,
2022-01-01 08:00:00,Cyprus,Cyprus,CY,657.39,839.75,29.0,29.0,tsoc.org.cy,false,
2022-01-01 09:00:00,Cyprus,Cyprus,CY,614.4,786.67,33.65,33.65,tsoc.org.cy,false,
2022-01-01 10:00:00,Cyprus,Cyprus,CY,616.16,789.04,33.46,33.46,tsoc.org.cy,false,
2022-01-01 11:00:00,Cyprus,Cyprus,CY,647.03,827.28,30.12,30.12,tsoc.org.cy,false,
2022-01-01 12:00:00,Cyprus,Cyprus,CY,702.04,895.39,24.18,24.18,tsoc.org.cy,false,
2022-01-01 13:00:00,Cyprus,Cyprus,CY,809.25,1028.18,12.6,12.6,tsoc.org.cy,false,
2022-01-01 14:00:00,Cyprus,Cyprus,CY,890.41,1128.31,3.84,3.84,tsoc.org.cy,false,
2022-01-01 15:00:00,Cyprus,Cyprus,CY,911.28,1153.79,1.58,1.58,tsoc.org.cy,false,
2022-01-01 16:00:00,Cyprus,Cyprus,CY,915.61,1159.04,1.12,1.12,tsoc.org.cy,false,
2022-01-01 17:00:00,Cyprus,Cyprus,CY,916.15,1159.67,1.06,1.06,tsoc.org.cy,false,
2022-01-01 18:00:00,Cyprus,Cyprus,CY,747.36,932.49,0.77,0.77,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 19:00:00,Cyprus,Cyprus,CY,742.8,926.55,0.94,0.94,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 20:00:00,Cyprus,Cyprus,CY,739.94,922.56,0.72,0.72,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 21:00:00,Cyprus,Cyprus,CY,727.42,906.45,1.47,1.47,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
