Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Czechia,Czechia,CZ,409.5,442.28,55.06,11.48,entsoe.eu,false,
2022-01-01 01:00:00,Czechia,Czechia,CZ,414.56,448.1,54.63,11.7,entsoe.eu,false,
2022-01-01 02:00:00,Czechia,Czechia,CZ,415.76,449.52,54.55,11.52,entsoe.eu,false,
2022-01-01 03:00:00,Czechia,Czechia,CZ,412.46,446.07,54.84,11.72,entsoe.eu,false,
2022-01-01 04:00:00,Czechia,Czechia,CZ,415.05,447.86,54.95,11.34,entsoe.eu,false,
2022-01-01 05:00:00,Czechia,Czechia,CZ,414.96,446.87,54.82,10.54,entsoe.eu,false,
2022-01-01 06:00:00,Czechia,Czechia,CZ,399.3,430.23,56.11,9.96,entsoe.eu,false,
2022-01-01 07:00:00,Czechia,Czechia,CZ,395.45,426.63,56.54,10.78,entsoe.eu,false,
2022-01-01 08:00:00,Czechia,Czechia,CZ,404.15,435.26,55.87,11.49,entsoe.eu,false,
2022-01-01 09:00:00,Czechia,Czechia,CZ,384.67,413.55,57.61,12.02,entsoe.eu,false,
2022-01-01 10:00:00,Czechia,Czechia,CZ,380.22,408.22,57.96,11.82,entsoe.eu,false,
2022-01-01 11:00:00,Czechia,Czechia,CZ,380.91,408.95,57.83,11.38,entsoe.eu,false,
2022-01-01 12:00:00,Czechia,Czechia,CZ,379.76,407.76,57.87,10.68,entsoe.eu,false,
2022-01-01 13:00:00,Czechia,Czechia,CZ,384.12,411.92,57.47,10.08,entsoe.eu,false,
2022-01-01 14:00:00,Czechia,Czechia,CZ,394.8,422.99,56.46,8.53,entsoe.eu,false,
2022-01-01 15:00:00,Czechia,Czechia,CZ,421.68,447.05,58.92,15.48,entsoe.eu,false,
2022-01-01 16:00:00,Czechia,Czechia,CZ,436.0,461.49,58.59,17.28,entsoe.eu,false,
2022-01-01 17:00:00,Czechia,Czechia,CZ,428.73,454.62,59.08,17.24,entsoe.eu,false,
2022-01-01 18:00:00,Czechia,Czechia,CZ,435.51,462.69,58.51,17.51,entsoe.eu,false,
2022-01-01 19:00:00,Czechia,Czechia,CZ,435.53,462.99,58.14,16.38,entsoe.eu,false,
2022-01-01 20:00:00,Czechia,Czechia,CZ,427.12,457.01,56.84,13.29,entsoe.eu,false,
2022-01-01 21:00:00,Czechia,Czechia,CZ,429.19,458.09,57.62,13.92,entsoe.eu,false,
2022-01-01 22:00:00,Czechia,Czechia,CZ,400.86,429.97,57.02,10.06,entsoe.eu,false,
2022-01-01 23:00:00,Czechia,Czechia,CZ,409.92,442.98,55.42,10.72,entsoe.eu,false,
2022-01-02 00:00:00,Czechia,Czechia,CZ,414.57,447.1,54.99,9.67,entsoe.eu,false,
2022-01-02 01:00:00,Czechia,Czechia,CZ,411.27,444.38,55.36,11.0,entsoe.eu,false,
2022-01-02 02:00:00,Czechia,Czechia,CZ,395.66,429.15,56.84,12.66,entsoe.eu,false,
2022-01-02 03:00:00,Czechia,Czechia,CZ,387.31,420.59,57.54,12.67,entsoe.eu,false,
2022-01-02 04:00:00,Czechia,Czechia,CZ,394.5,427.22,56.88,12.87,entsoe.eu,false,
2022-01-02 05:00:00,Czechia,Czechia,CZ,388.36,422.09,57.4,14.51,entsoe.eu,false,
2022-01-02 06:00:00,Czechia,Czechia,CZ,386.7,421.52,57.67,16.47,entsoe.eu,false,
2022-01-02 07:00:00,Czechia,Czechia,CZ,381.63,417.66,58.39,19.34,entsoe.eu,false,
2022-01-02 08:00:00,Czechia,Czechia,CZ,367.51,402.75,59.89,21.02,entsoe.eu,false,
2022-01-02 09:00:00,Czechia,Czechia,CZ,349.11,384.36,61.82,24.28,entsoe.eu,false,
2022-01-02 10:00:00,Czechia,Czechia,CZ,327.07,361.92,63.94,27.39,entsoe.eu,false,
2022-01-02 11:00:00,Czechia,Czechia,CZ,327.37,362.08,63.87,27.18,entsoe.eu,false,
2022-01-02 12:00:00,Czechia,Czechia,CZ,331.2,365.55,63.48,27.02,entsoe.eu,false,
2022-01-02 13:00:00,Czechia,Czechia,CZ,340.96,376.41,62.59,26.47,entsoe.eu,false,
2022-01-02 14:00:00,Czechia,Czechia,CZ,341.29,375.0,63.92,28.56,entsoe.eu,false,
2022-01-02 15:00:00,Czechia,Czechia,CZ,360.0,391.58,64.84,31.46,entsoe.eu,false,
2022-01-02 16:00:00,Czechia,Czechia,CZ,377.83,408.76,63.86,31.12,entsoe.eu,false,
