Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Denmark,Denmark,DK,99.25,152.28,86.49,82.14,entsoe.eu,false,
2022-01-01 01:00:00,Denmark,Denmark,DK,94.58,150.7,86.78,83.07,entsoe.eu,false,
2022-01-01 02:00:00,Denmark,Denmark,DK,102.51,162.02,85.69,82.37,entsoe.eu,false,
2022-01-01 03:00:00,Denmark,Denmark,DK,118.02,181.07,82.6,78.19,entsoe.eu,false,
2022-01-01 04:00:00,Denmark,Denmark,DK,128.5,192.2,80.86,77.61,entsoe.eu,false,
2022-01-01 05:00:00,Denmark,Denmark,DK,138.81,204.76,79.63,75.97,entsoe.eu,false,
2022-01-01 06:00:00,Denmark,Denmark,DK,147.44,215.68,78.05,72.95,entsoe.eu,false,
2022-01-01 07:00:00,Denmark,Denmark,DK,170.12,249.5,75.15,69.46,entsoe.eu,false,
2022-01-01 08:00:00,Denmark,Denmark,DK,194.78,280.13,72.15,65.7,entsoe.eu,false,
2022-01-01 09:00:00,Denmark,Denmark,DK,172.7,253.67,75.5,65.73,entsoe.eu,false,
2022-01-01 10:00:00,Denmark,Denmark,DK,195.97,280.46,73.22,65.21,entsoe.eu,false,
2022-01-01 11:00:00,Denmark,Denmark,DK,214.76,300.95,70.95,63.65,entsoe.eu,false,
2022-01-01 12:00:00,Denmark,Denmark,DK,218.82,301.37,70.37,63.57,entsoe.eu,false,
2022-01-01 13:00:00,Denmark,Denmark,DK,214.77,300.2,71.33,65.08,entsoe.eu,false,
2022-01-01 14:00:00,Denmark,Denmark,DK,218.43,303.01,70.44,65.74,entsoe.eu,false,
2022-01-01 15:00:00,Denmark,Denmark,DK,214.5,293.56,70.71,66.42,entsoe.eu,false,
2022-01-01 16:00:00,Denmark,Denmark,DK,219.71,294.03,69.77,67.47,entsoe.eu,false,
2022-01-01 17:00:00,Denmark,Denmark,DK,202.37,273.73,72.33,70.83,entsoe.eu,false,
2022-01-01 18:00:00,Denmark,Denmark,DK,170.88,235.97,76.8,76.16,entsoe.eu,false,
2022-01-01 19:00:00,Denmark,Denmark,DK,137.27,193.83,81.02,79.74,entsoe.eu,false,
2022-01-01 20:00:00,Denmark,Denmark,DK,116.61,167.89,83.65,82.29,entsoe.eu,false,
2022-01-01 21:00:00,Denmark,Denmark,DK,105.82,155.25,84.92,82.78,entsoe.eu,false,
2022-01-01 22:00:00,Denmark,Denmark,DK,84.78,130.86,88.11,84.46,entsoe.eu,false,
2022-01-01 23:00:00,Denmark,Denmark,DK,87.67,134.0,87.83,83.29,entsoe.eu,false,
2022-01-02 00:00:00,Denmark,Denmark,DK,84.57,131.02,88.15,83.51,entsoe.eu,false,
2022-01-02 01:00:00,Denmark,Denmark,DK,83.93,130.63,88.03,84.53,entsoe.eu,false,
2022-01-02 02:00:00,Denmark,Denmark,DK,109.11,162.04,83.59,83.01,entsoe.eu,false,
2022-01-02 03:00:00,Denmark,Denmark,DK,117.03,171.12,82.42,80.91,entsoe.eu,false,
2022-01-02 04:00:00,Denmark,Denmark,DK,118.38,169.64,82.01,80.2,entsoe.eu,false,
2022-01-02 05:00:00,Denmark,Denmark,DK,123.25,176.69,81.46,79.17,entsoe.eu,false,
2022-01-02 06:00:00,Denmark,Denmark,DK,123.13,178.39,81.6,79.49,entsoe.eu,false,
2022-01-02 07:00:00,Denmark,Denmark,DK,127.89,187.67,80.96,78.86,entsoe.eu,false,
2022-01-02 08:00:00,Denmark,Denmark,DK,129.3,189.98,80.67,77.57,entsoe.eu,false,
2022-01-02 09:00:00,Denmark,Denmark,DK,130.88,194.58,81.03,78.1,entsoe.eu,false,
2022-01-02 10:00:00,Denmark,Denmark,DK,137.64,206.17,80.34,77.98,entsoe.eu,false,
2022-01-02 11:00:00,Denmark,Denmark,DK,136.01,205.24,81.18,77.0,entsoe.eu,false,
2022-01-02 12:00:00,Denmark,Denmark,DK,151.75,224.43,79.16,75.47,entsoe.eu,false,
2022-01-02 13:00:00,Denmark,Denmark,DK,156.78,232.63,79.43,74.74,entsoe.eu,false,
2022-01-02 14:00:00,Denmark,Denmark,DK,159.41,231.94,79.26,75.06,entsoe.eu,false,
2022-01-02 15:00:00,Denmark,Denmark,DK,144.71,216.45,80.96,77.56,entsoe.eu,false,
2022-01-02 16:00:00,Denmark,Denmark,DK,144.87,212.1,80.95,77.49,entsoe.eu,false,
2022-01-02 17:00:00,Denmark,Denmark,DK,114.97,176.54,84.82,81.72,entsoe.eu,false,
2022-01-02 18:00:00,Denmark,Denmark,DK,94.57,151.25,87.32,84.46,entsoe.eu,false,
2022-01-02 19:00:00,Denmark,Denmark,DK,92.05,140.54,87.63,84.72,entsoe.eu,false,
2022-01-02 20:00:00,Denmark,Denmark,DK,93.75,141.87,87.23,84.76,entsoe.eu,false,
2022-01-02 21:00:00,Denmark,Denmark,DK,97.78,149.64,86.53,85.6,entsoe.eu,false,
2022-01-02 22:00:00,Denmark,Denmark,DK,114.31,167.13,83.12,81.59,entsoe.eu,false,
2022-01-02 23:00:00,Denmark,Denmark,DK,127.27,181.15,81.62,79.51,entsoe.eu,false,
2022-01-03 00:00:00,Denmark,Denmark,DK,133.8,188.23,80.82,78.37,entsoe.eu,false,
2022-01-03 01:00:00,Denmark,Denmark,DK,137.32,191.91,80.34,77.62,entsoe.eu,false,
2022-01-03 02:00:00,Denmark,Denmark,DK,132.15,185.75,81.05,78.26,entsoe.eu,false,
2022-01-03 03:00:00,Denmark,Denmark,DK,122.52,172.01,82.45,79.96,entsoe.eu,false,
2022-01-03 04:00:00,Denmark,Denmark,DK,113.39,162.69,83.81,81.85,entsoe.eu,false,
2022-01-03 05:00:00,Denmark,Denmark,DK,107.4,156.93,84.12,82.63,entsoe.eu,false,
2022-01-03 06:00:00,Denmark,Denmark,DK,99.97,153.38,86.18,85.16,entsoe.eu,false,
