Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Estonia,Estonia,EE,308.85,360.61,60.13,36.52,entsoe.eu,false,
2022-01-01 01:00:00,Estonia,Estonia,EE,311.03,362.72,59.82,36.27,entsoe.eu,false,
2022-01-01 02:00:00,Estonia,Estonia,EE,318.58,371.14,58.99,36.1,entsoe.eu,false,
2022-01-01 03:00:00,Estonia,Estonia,EE,320.45,373.65,59.06,37.31,entsoe.eu,false,
2022-01-01 04:00:00,Estonia,Estonia,EE,319.52,372.36,59.41,38.63,entsoe.eu,false,
2022-01-01 05:00:00,Estonia,Estonia,EE,295.69,345.96,62.17,41.67,entsoe.eu,false,
2022-01-01 06:00:00,Estonia,Estonia,EE,314.99,367.53,60.57,43.56,entsoe.eu,false,
2022-01-01 07:00:00,Estonia,Estonia,EE,289.19,338.84,63.01,44.66,entsoe.eu,false,
2022-01-01 08:00:00,Estonia,Estonia,EE,280.26,327.7,64.01,45.46,entsoe.eu,false,
2022-01-01 09:00:00,Estonia,Estonia,EE,274.02,320.99,64.94,46.65,entsoe.eu,false,
2022-01-01 10:00:00,Estonia,Estonia,EE,284.55,332.18,64.02,45.85,entsoe.eu,false,
2022-01-01 11:00:00,Estonia,Estonia,EE,316.89,365.49,61.05,43.46,entsoe.eu,false,
2022-01-01 12:00:00,Estonia,Estonia,EE,329.71,378.24,59.88,42.69,entsoe.eu,false,
2022-01-01 13:00:00,Estonia,Estonia,EE,351.22,401.88,57.96,42.36,entsoe.eu,false,
2022-01-01 14:00:00,Estonia,Estonia,EE,359.3,410.84,57.39,42.37,entsoe.eu,false,
2022-01-01 15:00:00,Estonia,Estonia,EE,349.19,400.0,58.34,43.02,entsoe.eu,false,
2022-01-01 16:00:00,Estonia,Estonia,EE,345.87,395.98,58.66,42.29,entsoe.eu,false,
2022-01-01 17:00:00,Estonia,Estonia,EE,352.56,404.1,57.88,41.34,entsoe.eu,false,
2022-01-01 18:00:00,Estonia,Estonia,EE,351.29,402.74,57.84,39.79,entsoe.eu,false,
2022-01-01 19:00:00,Estonia,Estonia,EE,353.57,405.59,57.28,37.8,entsoe.eu,false,
2022-01-01 20:00:00,Estonia,Estonia,EE,370.31,425.88,55.39,37.23,entsoe.eu,false,
2022-01-01 21:00:00,Estonia,Estonia,EE,370.75,424.82,55.39,36.45,entsoe.eu,false,
2022-01-01 22:00:00,Estonia,Estonia,EE,420.69,483.87,49.56,33.57,entsoe.eu,false,
2022-01-01 23:00:00,Estonia,Estonia,EE,498.9,563.57,38.06,26.71,entsoe.eu,false,
2022-01-02 00:00:00,Estonia,Estonia,EE,433.96,495.79,44.57,29.5,entsoe.eu,false,
2022-01-02 01:00:00,Estonia,Estonia,EE,384.47,444.66,52.83,34.12,entsoe.eu,false,
2022-01-02 02:00:00,Estonia,Estonia,EE,343.46,398.98,57.23,36.65,entsoe.eu,false,
2022-01-02 03:00:00,Estonia,Estonia,EE,323.22,376.82,59.45,38.3,entsoe.eu,false,
2022-01-02 04:00:00,Estonia,Estonia,EE,324.99,378.78,59.15,37.82,entsoe.eu,false,
2022-01-02 05:00:00,Estonia,Estonia,EE,350.88,406.04,57.08,37.68,entsoe.eu,false,
2022-01-02 06:00:00,Estonia,Estonia,EE,356.28,411.3,56.56,38.45,entsoe.eu,false,
2022-01-02 07:00:00,Estonia,Estonia,EE,343.22,395.64,58.39,39.9,entsoe.eu,false,
2022-01-02 08:00:00,Estonia,Estonia,EE,357.93,410.63,57.92,41.13,entsoe.eu,false,
2022-01-02 09:00:00,Estonia,Estonia,EE,329.0,376.96,61.14,42.35,entsoe.eu,false,
2022-01-02 10:00:00,Estonia,Estonia,EE,330.5,378.79,60.95,42.34,entsoe.eu,false,
