Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,137.67,188.65,70.25,70.25,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 01:00:00,Northern Ireland,Northern Ireland,GB-NIR,119.56,165.5,74.16,74.16,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 02:00:00,Northern Ireland,Northern Ireland,GB-NIR,96.55,136.08,79.14,79.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 03:00:00,Northern Ireland,Northern Ireland,GB-NIR,74.54,107.94,83.89,83.89,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 04:00:00,Northern Ireland,Northern Ireland,GB-NIR,21.88,40.59,95.27,95.27,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 05:00:00,Northern Ireland,Northern Ireland,GB-NIR,46.29,71.82,90.0,90.0,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 06:00:00,Northern Ireland,Northern Ireland,GB-NIR,101.58,142.51,78.05,78.05,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 07:00:00,Northern Ireland,Northern Ireland,GB-NIR,113.79,158.12,75.41,75.41,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 08:00:00,Northern Ireland,Northern Ireland,GB-NIR,126.2,173.99,72.73,72.73,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 09:00:00,Northern Ireland,Northern Ireland,GB-NIR,96.93,136.56,79.05,79.05,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 10:00:00,Northern Ireland,Northern Ireland,GB-NIR,66.39,97.51,85.65,85.65,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 11:00:00,Northern Ireland,Northern Ireland,GB-NIR,78.37,112.83,83.06,83.06,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 12:00:00,Northern Ireland,Northern Ireland,GB-NIR,42.35,66.77,90.85,90.85,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 13:00:00,Northern Ireland,Northern Ireland,GB-NIR,70.96,103.35,84.67,84.67,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
