Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Greece,Greece,GR,339.88,388.71,52.58,48.56,entsoe.eu,false,
2022-01-01 01:00:00,Greece,Greece,GR,361.6,408.94,52.2,47.74,entsoe.eu,false,
2022-01-01 02:00:00,Greece,Greece,GR,396.18,446.85,46.64,41.09,entsoe.eu,false,
2022-01-01 03:00:00,Greece,Greece,GR,413.4,467.17,42.92,37.1,entsoe.eu,false,
2022-01-01 04:00:00,Greece,Greece,GR,405.21,458.23,44.52,39.1,entsoe.eu,false,
2022-01-01 05:00:00,Greece,Greece,GR,367.45,414.72,50.28,45.17,entsoe.eu,false,
2022-01-01 06:00:00,Greece,Greece,GR,319.97,358.77,59.58,55.11,entsoe.eu,false,
2022-01-01 07:00:00,Greece,Greece,GR,285.29,325.07,62.88,59.54,entsoe.eu,false,
2022-01-01 08:00:00,Greece,Greece,GR,260.74,298.5,66.79,63.91,entsoe.eu,false,
2022-01-01 09:00:00,Greece,Greece,GR,255.8,293.32,67.04,63.74,entsoe.eu,false,
2022-01-01 10:00:00,Greece,Greece,GR,252.86,293.86,64.63,61.34,entsoe.eu,false,
2022-01-01 11:00:00,Greece,Greece,GR,266.87,309.35,62.61,59.14,entsoe.eu,false,
2022-01-01 12:00:00,Greece,Greece,GR,266.11,307.29,63.46,60.13,entsoe.eu,false,
2022-01-01 13:00:00,Greece,Greece,GR,284.68,326.66,60.58,56.87,entsoe.eu,false,
2022-01-01 14:00:00,Greece,Greece,GR,311.49,355.5,56.29,52.32,entsoe.eu,false,
2022-01-01 15:00:00,Greece,Greece,GR,323.66,367.51,56.2,52.86,entsoe.eu,false,
2022-01-01 16:00:00,Greece,Greece,GR,299.48,342.38,59.37,56.6,entsoe.eu,false,
2022-01-01 17:00:00,Greece,Greece,GR,287.09,327.63,61.49,58.74,entsoe.eu,false,
2022-01-01 18:00:00,Greece,Greece,GR,287.92,327.36,61.85,58.87,entsoe.eu,false,
2022-01-01 19:00:00,Greece,Greece,GR,279.26,319.31,61.35,58.29,entsoe.eu,false,
2022-01-01 20:00:00,Greece,Greece,GR,264.23,304.79,61.61,58.65,entsoe.eu,false,
2022-01-01 21:00:00,Greece,Greece,GR,270.32,309.04,62.47,59.03,entsoe.eu,false,
2022-01-01 22:00:00,Greece,Greece,GR,280.16,313.9,65.02,60.8,entsoe.eu,false,
2022-01-01 23:00:00,Greece,Greece,GR,321.96,358.24,60.12,54.54,entsoe.eu,false,
2022-01-02 00:00:00,Greece,Greece,GR,328.81,365.31,59.38,53.33,entsoe.eu,false,
2022-01-02 01:00:00,Greece,Greece,GR,325.17,360.49,60.59,54.85,entsoe.eu,false,
2022-01-02 02:00:00,Greece,Greece,GR,318.5,352.41,62.08,56.54,entsoe.eu,false,
2022-01-02 03:00:00,Greece,Greece,GR,298.34,334.2,62.61,58.39,entsoe.eu,false,
2022-01-02 04:00:00,Greece,Greece,GR,269.97,304.88,65.53,62.55,entsoe.eu,false,
2022-01-02 05:00:00,Greece,Greece,GR,265.59,299.56,66.87,64.22,entsoe.eu,false,
2022-01-02 06:00:00,Greece,Greece,GR,253.7,287.49,68.5,66.08,entsoe.eu,false,
2022-01-02 07:00:00,Greece,Greece,GR,240.23,272.87,72.23,70.06,entsoe.eu,false,
2022-01-02 08:00:00,Greece,Greece,GR,226.68,259.94,73.77,71.87,entsoe.eu,false,
2022-01-02 09:00:00,Greece,Greece,GR,229.15,264.72,72.2,70.21,entsoe.eu,false,
2022-01-02 10:00:00,Greece,Greece,GR,220.8,256.2,73.08,71.34,entsoe.eu,false,
2022-01-02 11:00:00,Greece,Greece,GR,227.33,263.68,71.84,70.03,entsoe.eu,false,
2022-01-02 12:00:00,Greece,Greece,GR,253.71,292.09,68.45,66.56,entsoe.eu,false,
2022-01-02 13:00:00,Greece,Greece,GR,292.18,332.39,62.74,59.87,entsoe.eu,false,
2022-01-02 14:00:00,Greece,Greece,GR,316.58,363.44,54.44,51.42,entsoe.eu,false,
2022-01-02 15:00:00,Greece,Greece,GR,335.46,389.35,48.5,46.05,entsoe.eu,false,
2022-01-02 16:00:00,Greece,Greece,GR,330.93,389.9,45.61,43.75,entsoe.eu,false,
2022-01-02 17:00:00,Greece,Greece,GR,342.63,401.68,44.54,42.28,entsoe.eu,false,
2022-01-02 18:00:00,Greece,Greece,GR,351.76,411.02,43.59,40.93,entsoe.eu,false,
2022-01-02 19:00:00,Greece,Greece,GR,357.07,418.66,41.1,38.18,entsoe.eu,false,
2022-01-02 20:00:00,Greece,Greece,GR,368.11,429.83,40.16,36.33,entsoe.eu,false,
2022-01-02 21:00:00,Greece,Greece,GR,359.93,419.79,41.6,37.21,entsoe.eu,false,
2022-01-02 22:00:00,Greece,Greece,GR,407.27,473.58,34.73,30.05,entsoe.eu,false,
2022-01-02 23:00:00,Greece,Greece,GR,428.97,496.26,33.6,28.19,entsoe.eu,false,
2022-01-03 00:00:00,Greece,Greece,GR,425.74,488.2,36.96,31.24,entsoe.eu,false,
2022-01-03 01:00:00,Greece,Greece,GR,419.6,474.88,41.93,35.22,entsoe.eu,false,
2022-01-03 02:00:00,Greece,Greece,GR,383.93,430.02,50.41,43.86,entsoe.eu,false,
2022-01-03 03:00:00,Greece,Greece,GR,359.84,402.72,54.41,48.26,entsoe.eu,false,
2022-01-03 04:00:00,Greece,Greece,GR,313.16,350.57,60.24,54.79,entsoe.eu,false,
2022-01-03 05:00:00,Greece,Greece,GR,292.21,332.83,60.38,56.28,entsoe.eu,false,
2022-01-03 06:00:00,Greece,Greece,GR,275.99,315.47,62.58,59.58,entsoe.eu,false,
2022-01-03 07:00:00,Greece,Greece,GR,245.39,283.82,66.3,64.03,entsoe.eu,false,
2022-01-03 08:00:00,Greece,Greece,GR,214.2,250.98,70.54,68.89,entsoe.eu,false,
2022-01-03 09:00:00,Greece,Greece,GR,202.81,238.27,72.71,71.17,entsoe.eu,false,
2022-01-03 10:00:00,Greece,Greece,GR,201.53,237.73,72.2,70.52,entsoe.eu,false,
2022-01-03 11:00:00,Greece,Greece,GR,209.05,247.73,69.74,68.0,entsoe.eu,false,
2022-01-03 12:00:00,Greece,Greece,GR,213.67,252.04,69.24,67.32,entsoe.eu,false,
2022-01-03 13:00:00,Greece,Greece,GR,247.04,293.52,60.53,58.56,entsoe.eu,false,
2022-01-03 14:00:00,Greece,Greece,GR,272.35,323.87,54.6,52.83,entsoe.eu,false,
2022-01-03 15:00:00,Greece,Greece,GR,279.12,331.77,53.35,51.77,entsoe.eu,false,
2022-01-03 16:00:00,Greece,Greece,GR,272.2,323.24,55.17,53.58,entsoe.eu,false,
2022-01-03 17:00:00,Greece,Greece,GR,276.63,326.76,55.53,53.98,entsoe.eu,false,
2022-01-03 18:00:00,Greece,Greece,GR,285.14,335.26,54.87,53.18,entsoe.eu,false,
2022-01-03 19:00:00,Greece,Greece,GR,288.41,337.74,54.76,52.62,entsoe.eu,false,
2022-01-03 20:00:00,Greece,Greece,GR,300.69,353.64,51.09,48.76,entsoe.eu,false,
2022-01-03 21:00:00,Greece,Greece,GR,325.05,385.78,44.4,41.79,entsoe.eu,false,
2022-01-03 22:00:00,Greece,Greece,GR,327.74,394.79,40.18,36.82,entsoe.eu,false,
2022-01-03 23:00:00,Greece,Greece,GR,355.84,423.77,37.73,32.76,entsoe.eu,false,
2022-01-04 00:00:00,Greece,Greece,GR,366.25,434.83,36.55,31.31,entsoe.eu,false,
2022-01-04 01:00:00,Greece,Greece,GR,375.31,441.63,37.18,31.43,entsoe.eu,false,
2022-01-04 02:00:00,Greece,Greece,GR,353.58,412.39,43.15,37.16,entsoe.eu,false,
