Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Croatia,Croatia,HR,426.26,231.59,28.67,11.11,entsoe.eu; hops.hr,false,
2022-01-01 01:00:00,Croatia,Croatia,HR,344.65,242.93,44.63,25.71,entsoe.eu; hops.hr,false,
2022-01-01 02:00:00,Croatia,Croatia,HR,339.8,251.35,46.0,25.34,entsoe.eu; hops.hr,false,
2022-01-01 03:00:00,Croatia,Croatia,HR,403.96,245.91,33.67,11.86,entsoe.eu; hops.hr,false,
2022-01-01 04:00:00,Croatia,Croatia,HR,386.47,243.63,36.86,16.23,entsoe.eu; hops.hr,false,
2022-01-01 05:00:00,Croatia,Croatia,HR,280.02,241.7,56.82,39.48,entsoe.eu; hops.hr,false,
2022-01-01 06:00:00,Croatia,Croatia,HR,409.11,243.27,32.9,18.26,entsoe.eu; hops.hr,false,
2022-01-01 07:00:00,Croatia,Croatia,HR,340.0,224.02,45.55,32.06,entsoe.eu; hops.hr,false,
2022-01-01 08:00:00,Croatia,Croatia,HR,355.22,216.49,41.55,28.54,entsoe.eu; hops.hr,false,
2022-01-01 09:00:00,Croatia,Croatia,HR,398.37,209.27,32.71,21.27,entsoe.eu; hops.hr,false,
2022-01-01 10:00:00,Croatia,Croatia,HR,347.49,207.06,42.61,32.59,entsoe.eu; hops.hr,false,
2022-01-01 11:00:00,Croatia,Croatia,HR,368.12,217.51,39.05,28.91,entsoe.eu; hops.hr,false,
2022-01-01 12:00:00,Croatia,Croatia,HR,366.49,219.79,39.97,30.19,entsoe.eu; hops.hr,false,
2022-01-01 13:00:00,Croatia,Croatia,HR,305.49,221.45,52.55,44.06,entsoe.eu; hops.hr,false,
2022-01-01 14:00:00,Croatia,Croatia,HR,403.07,229.12,34.19,25.7,entsoe.eu; hops.hr,false,
2022-01-01 15:00:00,Croatia,Croatia,HR,423.78,232.49,30.89,23.11,entsoe.eu; hops.hr,false,
2022-01-01 16:00:00,Croatia,Croatia,HR,397.67,233.15,36.43,26.59,entsoe.eu; hops.hr,false,
2022-01-01 17:00:00,Croatia,Croatia,HR,393.49,235.75,37.46,27.59,entsoe.eu; hops.hr,false,
2022-01-01 18:00:00,Croatia,Croatia,HR,377.66,230.09,39.9,29.97,entsoe.eu; hops.hr,false,
2022-01-01 19:00:00,Croatia,Croatia,HR,392.85,229.01,36.92,27.21,entsoe.eu; hops.hr,false,
2022-01-01 20:00:00,Croatia,Croatia,HR,374.76,224.83,40.53,29.34,entsoe.eu; hops.hr,false,
2022-01-01 21:00:00,Croatia,Croatia,HR,392.17,227.28,36.38,24.78,entsoe.eu; hops.hr,false,
2022-01-01 22:00:00,Croatia,Croatia,HR,370.74,222.02,39.21,26.94,entsoe.eu; hops.hr,false,
2022-01-01 23:00:00,Croatia,Croatia,HR,337.2,219.04,44.78,24.88,entsoe.eu; hops.hr,false,
2022-01-02 00:00:00,Croatia,Croatia,HR,385.92,219.79,35.75,14.41,entsoe.eu; hops.hr,false,
2022-01-02 01:00:00,Croatia,Croatia,HR,396.82,216.79,33.1,13.12,entsoe.eu; hops.hr,false,
