Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Hungary,Hungary,HU,198.4,234.05,73.67,20.96,entsoe.eu,false,
2022-01-01 01:00:00,Hungary,Hungary,HU,196.95,232.67,73.65,20.11,entsoe.eu,false,
2022-01-01 02:00:00,Hungary,Hungary,HU,195.77,231.85,73.58,19.5,entsoe.eu,false,
2022-01-01 03:00:00,Hungary,Hungary,HU,194.33,230.57,73.57,18.76,entsoe.eu,false,
2022-01-01 04:00:00,Hungary,Hungary,HU,196.97,233.44,73.23,17.79,entsoe.eu,false,
2022-01-01 05:00:00,Hungary,Hungary,HU,190.26,225.49,74.47,17.35,entsoe.eu,false,
2022-01-01 06:00:00,Hungary,Hungary,HU,186.77,221.32,75.2,16.1,entsoe.eu,false,
2022-01-01 07:00:00,Hungary,Hungary,HU,157.24,191.3,78.52,20.41,entsoe.eu,false,
2022-01-01 08:00:00,Hungary,Hungary,HU,147.66,184.5,78.09,23.96,entsoe.eu,false,
2022-01-01 09:00:00,Hungary,Hungary,HU,125.8,159.5,81.87,29.76,entsoe.eu,false,
2022-01-01 10:00:00,Hungary,Hungary,HU,128.89,165.14,80.42,33.04,entsoe.eu,false,
2022-01-01 11:00:00,Hungary,Hungary,HU,141.34,178.42,78.32,30.04,entsoe.eu,false,
2022-01-01 12:00:00,Hungary,Hungary,HU,167.59,203.04,76.47,27.27,entsoe.eu,false,
2022-01-01 13:00:00,Hungary,Hungary,HU,179.54,214.93,75.12,23.34,entsoe.eu,false,
2022-01-01 14:00:00,Hungary,Hungary,HU,182.07,216.85,75.08,21.32,entsoe.eu,false,
2022-01-01 15:00:00,Hungary,Hungary,HU,182.48,215.24,76.13,22.96,entsoe.eu,false,
2022-01-01 16:00:00,Hungary,Hungary,HU,193.78,226.78,75.25,22.18,entsoe.eu,false,
2022-01-01 17:00:00,Hungary,Hungary,HU,193.03,225.49,75.76,21.73,entsoe.eu,false,
2022-01-01 18:00:00,Hungary,Hungary,HU,201.91,235.03,74.7,19.79,entsoe.eu,false,
2022-01-01 19:00:00,Hungary,Hungary,HU,206.07,240.77,73.63,18.87,entsoe.eu,false,
2022-01-01 20:00:00,Hungary,Hungary,HU,204.27,237.64,74.59,18.12,entsoe.eu,false,
2022-01-01 21:00:00,Hungary,Hungary,HU,196.61,232.42,73.39,14.65,entsoe.eu,false,
2022-01-01 22:00:00,Hungary,Hungary,HU,182.71,219.27,73.94,14.37,entsoe.eu,false,
2022-01-01 23:00:00,Hungary,Hungary,HU,195.25,230.94,74.06,14.2,entsoe.eu,false,
2022-01-02 00:00:00,Hungary,Hungary,HU,190.99,227.1,74.45,14.09,entsoe.eu,false,
2022-01-02 01:00:00,Hungary,Hungary,HU,182.98,220.41,74.36,13.49,entsoe.eu,false,
2022-01-02 02:00:00,Hungary,Hungary,HU,180.49,218.12,74.45,13.05,entsoe.eu,false,
2022-01-02 03:00:00,Hungary,Hungary,HU,182.15,219.65,74.31,12.95,entsoe.eu,false,
2022-01-02 04:00:00,Hungary,Hungary,HU,194.73,229.74,74.55,13.59,entsoe.eu,false,
2022-01-02 05:00:00,Hungary,Hungary,HU,181.98,217.61,75.23,14.34,entsoe.eu,false,
2022-01-02 06:00:00,Hungary,Hungary,HU,180.03,217.56,74.33,14.58,entsoe.eu,false,
2022-01-02 07:00:00,Hungary,Hungary,HU,183.26,219.29,74.74,18.24,entsoe.eu,false,
2022-01-02 08:00:00,Hungary,Hungary,HU,172.95,207.76,76.55,23.65,entsoe.eu,false,
2022-01-02 09:00:00,Hungary,Hungary,HU,162.12,194.92,79.03,29.27,entsoe.eu,false,
2022-01-02 10:00:00,Hungary,Hungary,HU,164.9,201.12,77.49,30.9,entsoe.eu,false,
2022-01-02 11:00:00,Hungary,Hungary,HU,167.46,204.31,76.94,29.95,entsoe.eu,false,
2022-01-02 12:00:00,Hungary,Hungary,HU,172.33,209.56,76.27,28.18,entsoe.eu,false,
2022-01-02 13:00:00,Hungary,Hungary,HU,186.56,223.85,74.76,24.48,entsoe.eu,false,
2022-01-02 14:00:00,Hungary,Hungary,HU,202.04,240.57,72.92,22.75,entsoe.eu,false,
2022-01-02 15:00:00,Hungary,Hungary,HU,225.93,263.81,71.74,23.59,entsoe.eu,false,
2022-01-02 16:00:00,Hungary,Hungary,HU,234.2,271.63,71.32,23.64,entsoe.eu,false,
2022-01-02 17:00:00,Hungary,Hungary,HU,226.12,263.17,72.06,24.15,entsoe.eu,false,
2022-01-02 18:00:00,Hungary,Hungary,HU,228.71,267.44,70.7,22.77,entsoe.eu,false,
2022-01-02 19:00:00,Hungary,Hungary,HU,223.93,263.05,70.55,21.51,entsoe.eu,false,
2022-01-02 20:00:00,Hungary,Hungary,HU,214.58,252.3,71.9,21.69,entsoe.eu,false,
2022-01-02 21:00:00,Hungary,Hungary,HU,218.74,256.4,71.5,19.14,entsoe.eu,false,
2022-01-02 22:00:00,Hungary,Hungary,HU,210.1,246.66,72.69,18.76,entsoe.eu,false,
2022-01-02 23:00:00,Hungary,Hungary,HU,204.79,240.63,72.93,17.97,entsoe.eu,false,
2022-01-03 00:00:00,Hungary,Hungary,HU,194.12,228.82,74.45,19.36,entsoe.eu,false,
2022-01-03 01:00:00,Hungary,Hungary,HU,194.03,230.09,73.7,19.95,entsoe.eu,false,
2022-01-03 02:00:00,Hungary,Hungary,HU,190.65,226.0,74.34,20.29,entsoe.eu,false,
2022-01-03 03:00:00,Hungary,Hungary,HU,194.84,230.62,73.67,20.66,entsoe.eu,false,
2022-01-03 04:00:00,Hungary,Hungary,HU,209.98,246.6,71.88,20.89,entsoe.eu,false,
2022-01-03 05:00:00,Hungary,Hungary,HU,223.43,261.9,69.78,22.55,entsoe.eu,false,
2022-01-03 06:00:00,Hungary,Hungary,HU,231.25,271.68,67.9,23.84,entsoe.eu,false,
2022-01-03 07:00:00,Hungary,Hungary,HU,236.82,277.02,67.67,25.72,entsoe.eu,false,
2022-01-03 08:00:00,Hungary,Hungary,HU,241.32,281.28,67.24,25.28,entsoe.eu,false,
2022-01-03 09:00:00,Hungary,Hungary,HU,236.98,279.23,65.98,24.88,entsoe.eu,false,
2022-01-03 10:00:00,Hungary,Hungary,HU,224.79,263.98,68.66,27.7,entsoe.eu,false,
2022-01-03 11:00:00,Hungary,Hungary,HU,221.88,261.03,69.02,28.26,entsoe.eu,false,
2022-01-03 12:00:00,Hungary,Hungary,HU,216.97,255.55,69.77,28.27,entsoe.eu,false,
2022-01-03 13:00:00,Hungary,Hungary,HU,223.31,262.32,69.23,26.76,entsoe.eu,false,
2022-01-03 14:00:00,Hungary,Hungary,HU,234.86,275.62,67.35,24.24,entsoe.eu,false,
2022-01-03 15:00:00,Hungary,Hungary,HU,247.54,288.4,66.71,23.71,entsoe.eu,false,
2022-01-03 16:00:00,Hungary,Hungary,HU,254.76,295.48,66.11,22.88,entsoe.eu,false,
2022-01-03 17:00:00,Hungary,Hungary,HU,258.04,298.88,65.72,21.11,entsoe.eu,false,
2022-01-03 18:00:00,Hungary,Hungary,HU,262.88,303.6,65.34,20.12,entsoe.eu,false,
2022-01-03 19:00:00,Hungary,Hungary,HU,266.33,307.37,64.39,17.79,entsoe.eu,false,
2022-01-03 20:00:00,Hungary,Hungary,HU,260.74,301.22,64.93,16.59,entsoe.eu,false,
2022-01-03 21:00:00,Hungary,Hungary,HU,249.96,288.17,66.76,16.15,entsoe.eu,false,
2022-01-03 22:00:00,Hungary,Hungary,HU,247.07,283.55,68.02,15.19,entsoe.eu,false,
2022-01-03 23:00:00,Hungary,Hungary,HU,262.68,301.14,66.64,14.74,entsoe.eu,false,
2022-01-04 00:00:00,Hungary,Hungary,HU,259.8,298.79,66.73,13.73,entsoe.eu,false,
2022-01-04 01:00:00,Hungary,Hungary,HU,256.26,295.87,66.71,11.93,entsoe.eu,false,
2022-01-04 02:00:00,Hungary,Hungary,HU,254.77,295.04,66.56,11.7,entsoe.eu,false,
2022-01-04 03:00:00,Hungary,Hungary,HU,257.63,298.59,65.79,12.8,entsoe.eu,false,
2022-01-04 04:00:00,Hungary,Hungary,HU,275.56,316.61,64.43,14.15,entsoe.eu,false,
2022-01-04 05:00:00,Hungary,Hungary,HU,290.18,335.35,60.78,15.79,entsoe.eu,false,
2022-01-04 06:00:00,Hungary,Hungary,HU,296.26,344.36,58.77,16.93,entsoe.eu,false,
2022-01-04 07:00:00,Hungary,Hungary,HU,288.04,335.46,60.03,19.54,entsoe.eu,false,
2022-01-04 08:00:00,Hungary,Hungary,HU,271.61,318.28,61.92,22.13,entsoe.eu,false,
2022-01-04 09:00:00,Hungary,Hungary,HU,265.92,312.14,62.48,22.84,entsoe.eu,false,
2022-01-04 10:00:00,Hungary,Hungary,HU,265.93,312.27,62.22,21.95,entsoe.eu,false,
2022-01-04 11:00:00,Hungary,Hungary,HU,267.75,314.57,61.58,21.47,entsoe.eu,false,
2022-01-04 12:00:00,Hungary,Hungary,HU,262.82,309.02,62.24,21.59,entsoe.eu,false,
2022-01-04 13:00:00,Hungary,Hungary,HU,256.34,302.61,62.88,21.99,entsoe.eu,false,
2022-01-04 14:00:00,Hungary,Hungary,HU,252.52,298.25,63.34,21.81,entsoe.eu,false,
2022-01-04 15:00:00,Hungary,Hungary,HU,253.46,298.14,63.8,23.11,entsoe.eu,false,
