Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-01 01:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-01 02:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-01 03:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-01 04:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-01 05:00:00,Israel,Israel,IL,482.11,583.63,1.06,1.06,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-01 06:00:00,Israel,Israel,IL,447.1,544.52,8.25,8.25,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-01 07:00:00,Israel,Israel,IL,436.76,532.97,10.37,10.37,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-01 08:00:00,Israel,Israel,IL,433.35,529.16,11.07,11.07,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-01 09:00:00,Israel,Israel,IL,432.21,527.89,11.3,11.3,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-01 10:00:00,Israel,Israel,IL,433.27,529.07,11.08,11.08,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-01 11:00:00,Israel,Israel,IL,435.22,531.25,10.68,10.68,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-01 12:00:00,Israel,Israel,IL,438.7,535.14,9.97,9.97,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-01 13:00:00,Israel,Israel,IL,444.46,541.57,8.79,8.79,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-01 14:00:00,Israel,Israel,IL,461.73,560.87,5.24,5.24,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-01 15:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-01 16:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-01 17:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-01 18:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-01 19:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-01 20:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-01 21:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-01 22:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-01 23:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-02 00:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-02 01:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-02 02:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-02 03:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-02 04:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-02 05:00:00,Israel,Israel,IL,482.17,583.7,1.05,1.05,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
2022-01-02 06:00:00,Israel,Israel,IL,447.49,544.95,8.17,8.17,Electricity Maps Estimation,true,ESTIMATED_RECONSTRUCT_BREAKDOWN
