Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,India,Eastern India,IN-EA,728.0,782.61,4.02,4.02,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 01:00:00,India,Eastern India,IN-EA,728.0,782.61,4.02,4.02,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 02:00:00,India,Eastern India,IN-EA,724.51,779.09,4.48,4.47,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 03:00:00,India,Eastern India,IN-EA,722.76,777.33,4.71,4.69,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 04:00:00,India,Eastern India,IN-EA,722.22,776.75,4.78,4.78,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 05:00:00,India,Eastern India,IN-EA,721.9,776.43,4.83,4.83,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 06:00:00,India,Eastern India,IN-EA,721.77,776.29,4.84,4.84,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 07:00:00,India,Eastern India,IN-EA,721.77,776.29,4.84,4.84,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 08:00:00,India,Eastern India,IN-EA,721.84,776.37,4.83,4.83,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 09:00:00,India,Eastern India,IN-EA,722.15,776.69,4.79,4.78,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 10:00:00,India,Eastern India,IN-EA,722.96,777.51,4.68,4.68,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 11:00:00,India,Eastern India,IN-EA,725.43,780.0,4.36,4.36,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 12:00:00,India,Eastern India,IN-EA,728.01,782.61,4.02,4.02,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 13:00:00,India,Eastern India,IN-EA,728.01,782.61,4.02,4.02,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 14:00:00,India,Eastern India,IN-EA,728.01,782.61,4.02,4.02,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 15:00:00,India,Eastern India,IN-EA,728.01,782.61,4.02,4.02,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 16:00:00,India,Eastern India,IN-EA,728.01,782.61,4.02,4.02,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 17:00:00,India,Eastern India,IN-EA,728.0,782.61,4.02,4.02,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 18:00:00,India,Eastern India,IN-EA,691.53,745.61,8.56,7.02,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 19:00:00,India,Eastern India,IN-EA,686.07,740.06,9.25,7.46,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 20:00:00,India,Eastern India,IN-EA,725.02,779.38,4.36,4.07,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 21:00:00,India,Eastern India,IN-EA,732.29,786.73,3.44,3.44,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 22:00:00,India,Eastern India,IN-EA,732.29,786.73,3.44,3.44,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 23:00:00,India,Eastern India,IN-EA,732.29,786.73,3.44,3.44,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 00:00:00,India,Eastern India,IN-EA,732.3,786.73,3.44,3.44,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 01:00:00,India,Eastern India,IN-EA,732.3,786.74,3.44,3.44,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 02:00:00,India,Eastern India,IN-EA,728.7,783.12,3.91,3.9,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 03:00:00,India,Eastern India,IN-EA,726.85,781.28,4.15,4.12,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 04:00:00,India,Eastern India,IN-EA,726.22,780.64,4.23,4.21,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 05:00:00,India,Eastern India,IN-EA,726.0,780.36,4.27,4.27,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 06:00:00,India,Eastern India,IN-EA,725.88,780.23,4.29,4.29,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 07:00:00,India,Eastern India,IN-EA,725.87,780.23,4.29,4.29,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 08:00:00,India,Eastern India,IN-EA,725.95,780.3,4.28,4.28,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 09:00:00,India,Eastern India,IN-EA,726.35,780.71,4.23,4.23,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 10:00:00,India,Eastern India,IN-EA,726.68,781.12,4.17,4.13,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 11:00:00,India,Eastern India,IN-EA,729.32,783.76,3.83,3.81,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 12:00:00,India,Eastern India,IN-EA,732.27,786.71,3.44,3.44,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 13:00:00,India,Eastern India,IN-EA,732.31,786.74,3.44,3.44,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 14:00:00,India,Eastern India,IN-EA,732.31,786.74,3.44,3.44,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 15:00:00,India,Eastern India,IN-EA,732.31,786.74,3.44,3.44,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 16:00:00,India,Eastern India,IN-EA,732.3,786.74,3.44,3.44,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 17:00:00,India,Eastern India,IN-EA,732.3,786.74,3.44,3.44,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 18:00:00,India,Eastern India,IN-EA,688.99,742.73,8.92,7.4,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 19:00:00,India,Eastern India,IN-EA,684.01,737.68,9.54,7.79,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 20:00:00,India,Eastern India,IN-EA,720.87,774.86,4.9,4.61,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 21:00:00,India,Eastern India,IN-EA,727.76,781.82,4.03,4.03,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 22:00:00,India,Eastern India,IN-EA,727.76,781.82,4.03,4.03,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 23:00:00,India,Eastern India,IN-EA,727.76,781.82,4.03,4.03,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 00:00:00,India,Eastern India,IN-EA,727.76,781.82,4.03,4.03,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
