Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,India,North Eastern India,IN-NE,374.01,461.41,20.92,20.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 01:00:00,India,North Eastern India,IN-NE,369.6,456.5,21.85,21.85,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 02:00:00,India,North Eastern India,IN-NE,346.24,430.48,26.79,26.79,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 03:00:00,India,North Eastern India,IN-NE,345.83,430.03,26.88,26.88,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 04:00:00,India,North Eastern India,IN-NE,344.98,429.09,27.06,27.06,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 05:00:00,India,North Eastern India,IN-NE,344.09,428.09,27.25,27.25,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 06:00:00,India,North Eastern India,IN-NE,343.81,427.78,27.3,27.3,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 07:00:00,India,North Eastern India,IN-NE,344.35,428.38,27.19,27.19,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 08:00:00,India,North Eastern India,IN-NE,345.33,429.47,26.98,26.98,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 09:00:00,India,North Eastern India,IN-NE,347.98,432.43,26.42,26.42,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 10:00:00,India,North Eastern India,IN-NE,353.95,439.07,25.16,25.16,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 11:00:00,India,North Eastern India,IN-NE,373.24,460.55,21.08,21.08,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 12:00:00,India,North Eastern India,IN-NE,374.01,461.41,20.92,20.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 13:00:00,India,North Eastern India,IN-NE,374.01,461.41,20.92,20.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 14:00:00,India,North Eastern India,IN-NE,374.01,461.41,20.92,20.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 15:00:00,India,North Eastern India,IN-NE,374.01,461.41,20.92,20.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 16:00:00,India,North Eastern India,IN-NE,374.01,461.41,20.92,20.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 17:00:00,India,North Eastern India,IN-NE,374.01,461.41,20.92,20.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 18:00:00,India,North Eastern India,IN-NE,359.14,447.27,21.93,21.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 19:00:00,India,North Eastern India,IN-NE,359.14,447.27,21.93,21.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 20:00:00,India,North Eastern India,IN-NE,359.14,447.27,21.93,21.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 21:00:00,India,North Eastern India,IN-NE,359.14,447.27,21.93,21.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 22:00:00,India,North Eastern India,IN-NE,359.14,447.27,21.93,21.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 23:00:00,India,North Eastern India,IN-NE,359.14,447.27,21.93,21.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 00:00:00,India,North Eastern India,IN-NE,359.14,447.27,21.93,21.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 01:00:00,India,North Eastern India,IN-NE,354.87,442.49,22.86,22.86,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 02:00:00,India,North Eastern India,IN-NE,331.36,416.16,27.97,27.97,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 03:00:00,India,North Eastern India,IN-NE,330.94,415.69,28.06,28.06,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 04:00:00,India,North Eastern India,IN-NE,330.1,414.75,28.24,28.24,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 05:00:00,India,North Eastern India,IN-NE,329.21,413.74,28.44,28.44,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 06:00:00,India,North Eastern India,IN-NE,328.92,413.43,28.5,28.5,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 07:00:00,India,North Eastern India,IN-NE,329.46,414.02,28.38,28.38,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 08:00:00,India,North Eastern India,IN-NE,330.43,415.11,28.17,28.17,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 09:00:00,India,North Eastern India,IN-NE,333.05,418.05,27.6,27.6,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 10:00:00,India,North Eastern India,IN-NE,338.93,424.64,26.33,26.33,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 11:00:00,India,North Eastern India,IN-NE,358.16,446.17,22.15,22.15,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 12:00:00,India,North Eastern India,IN-NE,359.14,447.27,21.93,21.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 13:00:00,India,North Eastern India,IN-NE,359.14,447.27,21.93,21.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 14:00:00,India,North Eastern India,IN-NE,359.14,447.27,21.93,21.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 15:00:00,India,North Eastern India,IN-NE,359.14,447.27,21.93,21.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 16:00:00,India,North Eastern India,IN-NE,359.14,447.27,21.93,21.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 17:00:00,India,North Eastern India,IN-NE,359.14,447.27,21.93,21.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 18:00:00,India,North Eastern India,IN-NE,369.37,455.61,22.14,22.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 19:00:00,India,North Eastern India,IN-NE,369.37,455.61,22.14,22.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 20:00:00,India,North Eastern India,IN-NE,369.37,455.61,22.14,22.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 21:00:00,India,North Eastern India,IN-NE,369.37,455.61,22.14,22.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 22:00:00,India,North Eastern India,IN-NE,369.37,455.61,22.14,22.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 23:00:00,India,North Eastern India,IN-NE,369.37,455.61,22.14,22.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 00:00:00,India,North Eastern India,IN-NE,369.37,455.61,22.14,22.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 01:00:00,India,North Eastern India,IN-NE,365.26,451.04,23.0,23.0,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 02:00:00,India,North Eastern India,IN-NE,341.7,424.86,27.97,27.97,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 03:00:00,India,North Eastern India,IN-NE,341.25,424.35,28.06,28.06,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 04:00:00,India,North Eastern India,IN-NE,340.4,423.41,28.24,28.24,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 05:00:00,India,North Eastern India,IN-NE,339.5,422.41,28.43,28.43,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 06:00:00,India,North Eastern India,IN-NE,339.21,422.09,28.49,28.49,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 07:00:00,India,North Eastern India,IN-NE,339.74,422.68,28.38,28.38,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 08:00:00,India,North Eastern India,IN-NE,340.7,423.74,28.18,28.18,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 09:00:00,India,North Eastern India,IN-NE,343.3,426.63,27.63,27.63,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 10:00:00,India,North Eastern India,IN-NE,349.1,433.09,26.41,26.41,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 11:00:00,India,North Eastern India,IN-NE,368.16,454.27,22.39,22.39,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 12:00:00,India,North Eastern India,IN-NE,369.37,455.61,22.14,22.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 13:00:00,India,North Eastern India,IN-NE,369.37,455.61,22.14,22.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 14:00:00,India,North Eastern India,IN-NE,369.37,455.61,22.14,22.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 15:00:00,India,North Eastern India,IN-NE,369.37,455.61,22.14,22.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 16:00:00,India,North Eastern India,IN-NE,369.37,455.61,22.14,22.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 17:00:00,India,North Eastern India,IN-NE,369.37,455.61,22.14,22.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 18:00:00,India,North Eastern India,IN-NE,370.38,456.17,22.34,22.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 19:00:00,India,North Eastern India,IN-NE,370.38,456.17,22.34,22.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 20:00:00,India,North Eastern India,IN-NE,370.38,456.17,22.34,22.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 21:00:00,India,North Eastern India,IN-NE,370.38,456.17,22.34,22.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 22:00:00,India,North Eastern India,IN-NE,370.38,456.17,22.34,22.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 23:00:00,India,North Eastern India,IN-NE,370.38,456.17,22.34,22.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 00:00:00,India,North Eastern India,IN-NE,370.38,456.17,22.34,22.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 01:00:00,India,North Eastern India,IN-NE,366.33,451.67,23.19,23.19,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 02:00:00,India,North Eastern India,IN-NE,342.29,424.98,28.23,28.23,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 03:00:00,India,North Eastern India,IN-NE,341.81,424.45,28.33,28.33,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 04:00:00,India,North Eastern India,IN-NE,340.95,423.49,28.51,28.51,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 05:00:00,India,North Eastern India,IN-NE,340.03,422.47,28.7,28.7,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 06:00:00,India,North Eastern India,IN-NE,339.74,422.15,28.76,28.76,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 07:00:00,India,North Eastern India,IN-NE,340.27,422.74,28.65,28.65,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 08:00:00,India,North Eastern India,IN-NE,341.23,423.81,28.45,28.45,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 09:00:00,India,North Eastern India,IN-NE,343.85,426.71,27.9,27.9,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 10:00:00,India,North Eastern India,IN-NE,349.67,433.17,26.68,26.68,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 11:00:00,India,North Eastern India,IN-NE,368.88,454.5,22.65,22.65,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 12:00:00,India,North Eastern India,IN-NE,370.38,456.17,22.34,22.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 13:00:00,India,North Eastern India,IN-NE,370.38,456.17,22.34,22.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
