Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,India,Northern India,IN-NO,614.09,669.22,18.15,14.05,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 01:00:00,India,Northern India,IN-NO,613.69,668.79,18.2,14.04,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 02:00:00,India,Northern India,IN-NO,597.22,652.04,20.4,16.31,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 03:00:00,India,Northern India,IN-NO,492.03,545.18,34.42,31.22,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 04:00:00,India,Northern India,IN-NO,471.85,524.7,37.11,34.16,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 05:00:00,India,Northern India,IN-NO,465.56,518.33,37.95,35.1,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 06:00:00,India,Northern India,IN-NO,449.48,501.9,40.09,37.07,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 07:00:00,India,Northern India,IN-NO,445.22,497.54,40.66,37.6,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 08:00:00,India,Northern India,IN-NO,442.52,494.77,41.02,37.88,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 09:00:00,India,Northern India,IN-NO,445.88,498.17,40.57,37.38,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 10:00:00,India,Northern India,IN-NO,447.94,500.19,40.29,36.88,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 11:00:00,India,Northern India,IN-NO,470.79,523.33,37.25,33.4,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
