Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,India,Southern India,IN-SO,498.06,545.75,33.79,24.63,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 01:00:00,India,Southern India,IN-SO,511.27,559.92,32.04,23.68,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 02:00:00,India,Southern India,IN-SO,444.73,493.24,40.88,33.99,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 03:00:00,India,Southern India,IN-SO,411.8,460.14,45.26,39.12,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 04:00:00,India,Southern India,IN-SO,406.48,454.94,45.97,40.16,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 05:00:00,India,Southern India,IN-SO,412.56,461.45,45.16,39.65,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 06:00:00,India,Southern India,IN-SO,407.6,456.34,45.81,40.12,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 07:00:00,India,Southern India,IN-SO,402.98,451.64,46.43,40.61,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 08:00:00,India,Southern India,IN-SO,394.67,443.08,47.54,41.47,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 09:00:00,India,Southern India,IN-SO,392.97,441.32,47.76,41.51,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 10:00:00,India,Southern India,IN-SO,388.56,436.54,48.35,41.74,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 11:00:00,India,Southern India,IN-SO,392.25,439.9,47.86,40.59,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 12:00:00,India,Southern India,IN-SO,448.34,495.76,40.4,31.32,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 13:00:00,India,Southern India,IN-SO,499.61,547.42,33.59,23.64,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 14:00:00,India,Southern India,IN-SO,496.62,544.21,33.99,23.95,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 15:00:00,India,Southern India,IN-SO,491.69,538.9,34.64,24.39,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 16:00:00,India,Southern India,IN-SO,490.21,537.31,34.84,24.57,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 17:00:00,India,Southern India,IN-SO,489.01,535.99,35.0,24.66,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
