Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,India,Western India,IN-WE,704.79,763.52,6.15,2.9,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 01:00:00,India,Western India,IN-WE,709.31,768.35,5.53,2.58,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 02:00:00,India,Western India,IN-WE,709.62,768.73,5.49,2.52,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 03:00:00,India,Western India,IN-WE,709.21,768.37,5.54,2.72,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 04:00:00,India,Western India,IN-WE,706.38,765.48,5.93,3.35,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 05:00:00,India,Western India,IN-WE,702.87,761.86,6.4,3.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 06:00:00,India,Western India,IN-WE,690.67,749.38,8.02,5.54,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 07:00:00,India,Western India,IN-WE,692.48,751.24,7.78,5.19,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 08:00:00,India,Western India,IN-WE,695.46,754.3,7.38,4.73,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 09:00:00,India,Western India,IN-WE,694.75,753.61,7.46,4.79,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 10:00:00,India,Western India,IN-WE,691.57,750.31,7.89,5.16,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 11:00:00,India,Western India,IN-WE,692.76,751.5,7.73,4.97,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 12:00:00,India,Western India,IN-WE,702.36,761.2,6.45,3.6,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 13:00:00,India,Western India,IN-WE,702.41,761.21,6.45,3.62,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 14:00:00,India,Western India,IN-WE,700.4,759.06,6.72,3.76,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 15:00:00,India,Western India,IN-WE,699.32,757.89,6.87,3.8,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 16:00:00,India,Western India,IN-WE,698.43,756.92,6.99,3.89,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 17:00:00,India,Western India,IN-WE,699.22,757.71,6.89,3.73,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 18:00:00,India,Western India,IN-WE,703.93,762.48,6.39,3.55,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 19:00:00,India,Western India,IN-WE,705.04,763.63,6.24,3.33,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 20:00:00,India,Western India,IN-WE,706.85,765.49,6.01,3.07,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 21:00:00,India,Western India,IN-WE,706.63,765.25,6.04,3.1,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 22:00:00,India,Western India,IN-WE,706.6,765.22,6.04,3.18,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 23:00:00,India,Western India,IN-WE,710.07,768.92,5.57,2.78,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 00:00:00,India,Western India,IN-WE,713.31,772.38,5.14,2.55,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 01:00:00,India,Western India,IN-WE,716.16,775.42,4.75,2.31,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 02:00:00,India,Western India,IN-WE,716.49,775.81,4.71,2.38,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
