Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Lithuania,Lithuania,LT,193.32,277.29,49.59,43.6,entsoe.eu,false,
2022-01-01 01:00:00,Lithuania,Lithuania,LT,195.46,279.05,49.3,42.12,entsoe.eu,false,
2022-01-01 02:00:00,Lithuania,Lithuania,LT,180.07,259.96,52.46,42.98,entsoe.eu,false,
2022-01-01 03:00:00,Lithuania,Lithuania,LT,182.06,263.24,52.81,44.26,entsoe.eu,false,
2022-01-01 04:00:00,Lithuania,Lithuania,LT,176.5,255.76,53.45,42.83,entsoe.eu,false,
2022-01-01 05:00:00,Lithuania,Lithuania,LT,187.65,270.39,50.73,44.01,entsoe.eu,false,
2022-01-01 06:00:00,Lithuania,Lithuania,LT,193.87,277.71,53.04,47.3,entsoe.eu,false,
2022-01-01 07:00:00,Lithuania,Lithuania,LT,223.38,313.75,44.62,40.87,entsoe.eu,false,
2022-01-01 08:00:00,Lithuania,Lithuania,LT,239.96,333.74,37.6,35.35,entsoe.eu,false,
2022-01-01 09:00:00,Lithuania,Lithuania,LT,307.98,406.04,29.28,29.24,entsoe.eu,false,
2022-01-01 10:00:00,Lithuania,Lithuania,LT,292.3,388.6,32.21,30.92,entsoe.eu,false,
2022-01-01 11:00:00,Lithuania,Lithuania,LT,371.19,467.95,34.24,34.08,entsoe.eu,false,
2022-01-01 12:00:00,Lithuania,Lithuania,LT,398.76,496.36,33.24,32.84,entsoe.eu,false,
2022-01-01 13:00:00,Lithuania,Lithuania,LT,412.28,509.76,34.52,34.2,entsoe.eu,false,
2022-01-01 14:00:00,Lithuania,Lithuania,LT,399.87,495.71,39.81,36.8,entsoe.eu,false,
2022-01-01 15:00:00,Lithuania,Lithuania,LT,355.28,452.57,47.45,44.52,entsoe.eu,false,
