Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Latvia,Latvia,LV,242.95,329.94,54.28,43.37,entsoe.eu,false,
2022-01-01 01:00:00,Latvia,Latvia,LV,247.27,335.39,53.92,42.47,entsoe.eu,false,
2022-01-01 02:00:00,Latvia,Latvia,LV,224.32,314.57,55.19,44.41,entsoe.eu,false,
2022-01-01 03:00:00,Latvia,Latvia,LV,221.81,313.55,55.14,45.56,entsoe.eu,false,
2022-01-01 04:00:00,Latvia,Latvia,LV,216.03,305.54,56.57,46.08,entsoe.eu,false,
2022-01-01 05:00:00,Latvia,Latvia,LV,212.87,303.13,55.47,47.52,entsoe.eu,false,
2022-01-01 06:00:00,Latvia,Latvia,LV,219.42,311.01,56.58,50.0,entsoe.eu,false,
2022-01-01 07:00:00,Latvia,Latvia,LV,253.46,331.85,56.69,45.94,entsoe.eu,false,
2022-01-01 08:00:00,Latvia,Latvia,LV,251.15,318.88,59.45,47.76,entsoe.eu,false,
2022-01-01 09:00:00,Latvia,Latvia,LV,244.83,316.13,59.27,50.12,entsoe.eu,false,
2022-01-01 10:00:00,Latvia,Latvia,LV,246.22,320.55,58.28,49.76,entsoe.eu,false,
2022-01-01 11:00:00,Latvia,Latvia,LV,230.49,294.21,66.53,58.52,entsoe.eu,false,
2022-01-01 12:00:00,Latvia,Latvia,LV,178.91,230.62,75.65,68.46,entsoe.eu,false,
2022-01-01 13:00:00,Latvia,Latvia,LV,210.26,275.66,67.99,65.69,entsoe.eu,false,
2022-01-01 14:00:00,Latvia,Latvia,LV,222.66,293.99,66.24,64.27,entsoe.eu,false,
2022-01-01 15:00:00,Latvia,Latvia,LV,205.34,275.52,69.7,67.13,entsoe.eu,false,
2022-01-01 16:00:00,Latvia,Latvia,LV,163.37,230.51,72.74,68.71,entsoe.eu,false,
2022-01-01 17:00:00,Latvia,Latvia,LV,155.18,224.0,72.67,68.3,entsoe.eu,false,
2022-01-01 18:00:00,Latvia,Latvia,LV,136.66,196.76,77.09,72.83,entsoe.eu,false,
2022-01-01 19:00:00,Latvia,Latvia,LV,133.64,194.62,76.63,72.55,entsoe.eu,false,
2022-01-01 20:00:00,Latvia,Latvia,LV,123.98,188.44,76.39,72.37,entsoe.eu,false,
2022-01-01 21:00:00,Latvia,Latvia,LV,140.17,208.07,72.38,67.23,entsoe.eu,false,
