Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Nicaragua,Nicaragua,NI,89.11,195.09,78.39,78.39,cndc.org.ni,false,
2022-01-01 01:00:00,Nicaragua,Nicaragua,NI,77.21,177.8,81.12,81.12,cndc.org.ni,false,
2022-01-01 02:00:00,Nicaragua,Nicaragua,NI,70.98,172.03,82.62,82.62,cndc.org.ni,false,
2022-01-01 03:00:00,Nicaragua,Nicaragua,NI,50.19,139.39,87.73,87.73,cndc.org.ni,false,
2022-01-01 04:00:00,Nicaragua,Nicaragua,NI,60.0,124.7,87.39,87.39,cndc.org.ni,false,
2022-01-01 05:00:00,Nicaragua,Nicaragua,NI,33.74,115.76,92.06,92.06,cndc.org.ni,false,
2022-01-01 06:00:00,Nicaragua,Nicaragua,NI,47.62,120.39,89.79,89.79,cndc.org.ni,false,
2022-01-01 07:00:00,Nicaragua,Nicaragua,NI,36.36,122.37,91.5,91.5,cndc.org.ni,false,
2022-01-01 08:00:00,Nicaragua,Nicaragua,NI,31.96,113.1,92.15,92.15,cndc.org.ni,false,
2022-01-01 09:00:00,Nicaragua,Nicaragua,NI,33.63,119.72,91.74,91.74,cndc.org.ni,false,
2022-01-01 10:00:00,Nicaragua,Nicaragua,NI,29.96,116.04,92.64,92.64,cndc.org.ni,false,
2022-01-01 11:00:00,Nicaragua,Nicaragua,NI,28.06,113.59,93.11,93.11,cndc.org.ni,false,
2022-01-01 12:00:00,Nicaragua,Nicaragua,NI,39.18,139.72,90.39,90.39,cndc.org.ni,false,
2022-01-01 13:00:00,Nicaragua,Nicaragua,NI,56.24,143.49,87.73,87.73,cndc.org.ni,false,
2022-01-01 14:00:00,Nicaragua,Nicaragua,NI,69.75,152.67,85.23,85.23,cndc.org.ni,false,
2022-01-01 15:00:00,Nicaragua,Nicaragua,NI,71.76,144.99,85.41,85.41,cndc.org.ni,false,
2022-01-01 16:00:00,Nicaragua,Nicaragua,NI,58.59,141.46,87.52,87.52,cndc.org.ni,false,
2022-01-01 17:00:00,Nicaragua,Nicaragua,NI,53.83,135.62,88.41,88.41,cndc.org.ni,false,
2022-01-01 18:00:00,Nicaragua,Nicaragua,NI,68.75,144.66,85.81,85.81,cndc.org.ni,false,
2022-01-01 19:00:00,Nicaragua,Nicaragua,NI,58.32,135.03,87.64,87.64,cndc.org.ni,false,
2022-01-01 20:00:00,Nicaragua,Nicaragua,NI,57.83,145.07,87.39,87.39,cndc.org.ni,false,
2022-01-01 21:00:00,Nicaragua,Nicaragua,NI,39.93,135.82,90.85,90.85,cndc.org.ni,false,
2022-01-01 22:00:00,Nicaragua,Nicaragua,NI,40.96,139.84,90.26,90.26,cndc.org.ni,false,
2022-01-01 23:00:00,Nicaragua,Nicaragua,NI,120.36,246.78,71.34,71.34,cndc.org.ni,false,
2022-01-02 00:00:00,Nicaragua,Nicaragua,NI,116.54,241.92,71.6,71.6,cndc.org.ni,false,
2022-01-02 01:00:00,Nicaragua,Nicaragua,NI,118.99,247.51,70.79,70.79,cndc.org.ni,false,
2022-01-02 02:00:00,Nicaragua,Nicaragua,NI,93.84,197.59,77.77,77.77,cndc.org.ni,false,
2022-01-02 03:00:00,Nicaragua,Nicaragua,NI,53.55,149.3,86.83,86.83,cndc.org.ni,false,
2022-01-02 04:00:00,Nicaragua,Nicaragua,NI,32.12,120.71,92.11,92.11,cndc.org.ni,false,
2022-01-02 05:00:00,Nicaragua,Nicaragua,NI,36.31,121.24,91.47,91.47,cndc.org.ni,false,
