Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Netherlands,Netherlands,NL,260.6,331.06,49.66,45.63,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 01:00:00,Netherlands,Netherlands,NL,271.12,344.09,47.53,43.46,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 02:00:00,Netherlands,Netherlands,NL,271.21,344.23,47.2,42.21,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 03:00:00,Netherlands,Netherlands,NL,262.07,333.12,48.86,43.03,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 04:00:00,Netherlands,Netherlands,NL,266.18,338.57,47.49,39.94,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 05:00:00,Netherlands,Netherlands,NL,251.96,321.39,50.32,41.81,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 06:00:00,Netherlands,Netherlands,NL,249.12,317.92,51.14,42.15,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 07:00:00,Netherlands,Netherlands,NL,249.76,318.83,50.73,39.82,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 08:00:00,Netherlands,Netherlands,NL,243.73,311.6,51.66,40.18,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 09:00:00,Netherlands,Netherlands,NL,185.84,245.33,63.06,54.24,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 10:00:00,Netherlands,Netherlands,NL,171.57,229.51,65.95,57.85,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 11:00:00,Netherlands,Netherlands,NL,169.01,226.75,66.58,59.98,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 12:00:00,Netherlands,Netherlands,NL,168.22,225.9,66.69,60.22,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 13:00:00,Netherlands,Netherlands,NL,171.22,229.17,66.09,59.53,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 14:00:00,Netherlands,Netherlands,NL,187.03,247.09,62.98,55.59,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 15:00:00,Netherlands,Netherlands,NL,236.3,302.91,53.34,45.35,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 16:00:00,Netherlands,Netherlands,NL,268.68,340.79,47.05,40.07,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 17:00:00,Netherlands,Netherlands,NL,265.65,335.95,48.9,42.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 18:00:00,Netherlands,Netherlands,NL,267.57,338.8,47.8,41.9,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 19:00:00,Netherlands,Netherlands,NL,257.05,326.0,50.23,44.43,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 20:00:00,Netherlands,Netherlands,NL,253.24,321.59,50.72,44.6,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 21:00:00,Netherlands,Netherlands,NL,255.83,324.63,50.57,45.13,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 22:00:00,Netherlands,Netherlands,NL,254.98,323.93,50.13,45.71,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 23:00:00,Netherlands,Netherlands,NL,244.81,312.0,51.81,47.26,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 00:00:00,Netherlands,Netherlands,NL,239.4,305.1,53.17,49.05,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 01:00:00,Netherlands,Netherlands,NL,244.23,310.62,51.95,48.38,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 02:00:00,Netherlands,Netherlands,NL,228.9,292.17,54.93,50.53,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 03:00:00,Netherlands,Netherlands,NL,223.62,286.03,55.88,49.89,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 04:00:00,Netherlands,Netherlands,NL,226.52,289.81,55.27,48.33,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 05:00:00,Netherlands,Netherlands,NL,221.97,284.63,56.14,48.91,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 06:00:00,Netherlands,Netherlands,NL,223.28,286.05,55.89,49.13,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 07:00:00,Netherlands,Netherlands,NL,224.15,286.89,55.71,49.03,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 08:00:00,Netherlands,Netherlands,NL,220.11,281.88,56.6,50.28,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 09:00:00,Netherlands,Netherlands,NL,180.42,237.55,64.62,59.21,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 10:00:00,Netherlands,Netherlands,NL,165.0,220.51,67.68,62.7,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 11:00:00,Netherlands,Netherlands,NL,162.95,218.51,68.14,64.04,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 12:00:00,Netherlands,Netherlands,NL,161.04,216.25,68.56,64.17,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 13:00:00,Netherlands,Netherlands,NL,170.38,227.28,66.6,61.91,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 14:00:00,Netherlands,Netherlands,NL,181.89,240.14,64.24,58.11,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 15:00:00,Netherlands,Netherlands,NL,218.92,281.66,56.99,49.32,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 16:00:00,Netherlands,Netherlands,NL,237.66,303.27,53.94,46.45,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 17:00:00,Netherlands,Netherlands,NL,240.87,307.18,53.35,47.36,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 18:00:00,Netherlands,Netherlands,NL,232.02,296.42,55.1,49.37,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 19:00:00,Netherlands,Netherlands,NL,229.95,293.83,55.35,49.28,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 20:00:00,Netherlands,Netherlands,NL,227.67,291.17,55.53,49.08,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 21:00:00,Netherlands,Netherlands,NL,227.49,290.63,55.33,48.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 22:00:00,Netherlands,Netherlands,NL,210.12,269.7,58.54,53.03,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 23:00:00,Netherlands,Netherlands,NL,213.0,272.7,58.33,54.05,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 00:00:00,Netherlands,Netherlands,NL,214.27,274.09,58.26,53.75,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 01:00:00,Netherlands,Netherlands,NL,218.74,279.65,56.99,51.47,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 02:00:00,Netherlands,Netherlands,NL,216.13,276.44,57.51,52.12,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 03:00:00,Netherlands,Netherlands,NL,208.83,268.08,58.78,52.89,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 04:00:00,Netherlands,Netherlands,NL,208.67,267.97,58.93,53.66,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 05:00:00,Netherlands,Netherlands,NL,216.85,278.25,57.19,50.67,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 06:00:00,Netherlands,Netherlands,NL,221.06,283.38,56.49,50.18,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 07:00:00,Netherlands,Netherlands,NL,229.71,292.55,56.14,51.84,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 08:00:00,Netherlands,Netherlands,NL,238.9,303.22,54.83,51.16,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 09:00:00,Netherlands,Netherlands,NL,200.67,261.75,60.94,57.46,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 10:00:00,Netherlands,Netherlands,NL,187.47,247.23,63.55,60.88,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
