Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,New Zealand,New Zealand,NZ,58.44,94.68,87.74,87.74,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 01:00:00,New Zealand,New Zealand,NZ,58.33,94.54,87.78,87.78,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 02:00:00,New Zealand,New Zealand,NZ,58.15,94.34,87.8,87.8,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 03:00:00,New Zealand,New Zealand,NZ,58.37,94.52,87.78,87.78,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 04:00:00,New Zealand,New Zealand,NZ,60.54,96.95,87.36,87.36,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 05:00:00,New Zealand,New Zealand,NZ,63.65,100.54,86.67,86.67,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 06:00:00,New Zealand,New Zealand,NZ,65.44,102.55,86.32,86.32,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 07:00:00,New Zealand,New Zealand,NZ,64.27,101.3,86.53,86.53,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 08:00:00,New Zealand,New Zealand,NZ,60.3,96.79,87.35,87.35,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 09:00:00,New Zealand,New Zealand,NZ,60.59,97.4,87.25,87.25,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 10:00:00,New Zealand,New Zealand,NZ,53.64,89.57,88.68,88.68,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 11:00:00,New Zealand,New Zealand,NZ,51.14,86.69,89.35,89.35,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 12:00:00,New Zealand,New Zealand,NZ,48.74,84.03,89.91,89.91,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 13:00:00,New Zealand,New Zealand,NZ,49.09,84.62,89.83,89.83,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 14:00:00,New Zealand,New Zealand,NZ,49.93,85.67,89.69,89.69,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 15:00:00,New Zealand,New Zealand,NZ,50.27,86.01,89.65,89.65,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 16:00:00,New Zealand,New Zealand,NZ,50.02,85.47,89.75,89.75,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 17:00:00,New Zealand,New Zealand,NZ,51.47,86.88,89.4,89.4,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 18:00:00,New Zealand,New Zealand,NZ,56.49,92.46,88.25,88.25,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 19:00:00,New Zealand,New Zealand,NZ,61.03,97.64,87.24,87.24,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
