Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Panama,Panama,PA,153.45,216.58,66.96,66.96,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 01:00:00,Panama,Panama,PA,148.1,211.47,69.0,69.0,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 02:00:00,Panama,Panama,PA,160.18,226.56,65.75,65.75,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 03:00:00,Panama,Panama,PA,164.99,232.24,64.7,64.7,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 04:00:00,Panama,Panama,PA,162.29,228.49,65.75,65.75,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 05:00:00,Panama,Panama,PA,167.48,235.94,64.75,64.75,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 06:00:00,Panama,Panama,PA,186.47,257.65,60.55,60.55,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 07:00:00,Panama,Panama,PA,185.37,255.14,60.85,60.85,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 08:00:00,Panama,Panama,PA,191.6,261.79,59.52,59.52,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 09:00:00,Panama,Panama,PA,191.64,261.33,59.56,59.56,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 10:00:00,Panama,Panama,PA,191.84,261.71,59.54,59.54,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 11:00:00,Panama,Panama,PA,193.1,263.42,59.37,59.37,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 12:00:00,Panama,Panama,PA,184.71,253.2,61.21,61.21,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 13:00:00,Panama,Panama,PA,173.88,239.51,63.72,63.72,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 14:00:00,Panama,Panama,PA,158.2,217.9,67.33,67.33,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 15:00:00,Panama,Panama,PA,151.07,209.18,68.88,68.88,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 16:00:00,Panama,Panama,PA,144.65,201.4,70.24,70.24,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 17:00:00,Panama,Panama,PA,142.16,198.49,70.73,70.73,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 18:00:00,Panama,Panama,PA,144.98,202.54,70.07,70.07,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 19:00:00,Panama,Panama,PA,146.43,204.3,69.7,69.7,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 20:00:00,Panama,Panama,PA,144.86,201.71,70.04,70.04,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
