Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Peru,Peru,PE,97.81,146.77,73.64,73.64,coes.org.pe,false,
2022-01-01 01:00:00,Peru,Peru,PE,96.15,144.71,74.09,74.09,coes.org.pe,false,
2022-01-01 02:00:00,Peru,Peru,PE,97.64,146.59,73.69,73.69,coes.org.pe,false,
2022-01-01 03:00:00,Peru,Peru,PE,99.02,148.41,73.32,73.32,coes.org.pe,false,
2022-01-01 04:00:00,Peru,Peru,PE,101.32,151.46,72.7,72.7,coes.org.pe,false,
2022-01-01 05:00:00,Peru,Peru,PE,105.51,156.81,71.57,71.57,coes.org.pe,false,
2022-01-01 06:00:00,Peru,Peru,PE,106.65,158.18,71.26,71.26,coes.org.pe,false,
2022-01-01 07:00:00,Peru,Peru,PE,110.44,163.0,70.24,70.24,coes.org.pe,false,
2022-01-01 08:00:00,Peru,Peru,PE,114.19,167.77,69.23,69.23,coes.org.pe,false,
2022-01-01 09:00:00,Peru,Peru,PE,115.63,169.6,68.85,68.85,coes.org.pe,false,
2022-01-01 10:00:00,Peru,Peru,PE,118.73,173.62,68.01,68.01,coes.org.pe,false,
2022-01-01 11:00:00,Peru,Peru,PE,125.19,182.27,66.27,66.27,coes.org.pe,false,
2022-01-01 12:00:00,Peru,Peru,PE,129.45,188.09,65.12,65.12,coes.org.pe,false,
2022-01-01 13:00:00,Peru,Peru,PE,126.8,184.85,65.84,65.84,coes.org.pe,false,
2022-01-01 14:00:00,Peru,Peru,PE,122.78,179.85,66.92,66.92,coes.org.pe,false,
2022-01-01 15:00:00,Peru,Peru,PE,117.55,173.2,68.33,68.33,coes.org.pe,false,
2022-01-01 16:00:00,Peru,Peru,PE,114.14,168.91,69.25,69.25,coes.org.pe,false,
2022-01-01 17:00:00,Peru,Peru,PE,113.25,167.61,69.48,69.48,coes.org.pe,false,
2022-01-01 18:00:00,Peru,Peru,PE,111.76,165.59,69.89,69.89,coes.org.pe,false,
2022-01-01 19:00:00,Peru,Peru,PE,110.34,163.67,70.27,70.27,coes.org.pe,false,
2022-01-01 20:00:00,Peru,Peru,PE,110.42,163.7,70.25,70.25,coes.org.pe,false,
2022-01-01 21:00:00,Peru,Peru,PE,110.45,163.59,70.24,70.24,coes.org.pe,false,
2022-01-01 22:00:00,Peru,Peru,PE,96.44,145.36,74.03,74.03,coes.org.pe,false,
2022-01-01 23:00:00,Peru,Peru,PE,101.58,151.53,72.64,72.64,coes.org.pe,false,
2022-01-02 00:00:00,Peru,Peru,PE,101.22,151.14,72.73,72.73,coes.org.pe,false,
2022-01-02 01:00:00,Peru,Peru,PE,101.45,151.5,72.67,72.67,coes.org.pe,false,
2022-01-02 02:00:00,Peru,Peru,PE,99.72,149.44,73.13,73.13,coes.org.pe,false,
2022-01-02 03:00:00,Peru,Peru,PE,101.72,152.08,72.59,72.59,coes.org.pe,false,
2022-01-02 04:00:00,Peru,Peru,PE,100.26,150.24,72.99,72.99,coes.org.pe,false,
2022-01-02 05:00:00,Peru,Peru,PE,98.99,148.74,73.34,73.34,coes.org.pe,false,
2022-01-02 06:00:00,Peru,Peru,PE,102.12,152.7,72.49,72.49,coes.org.pe,false,
2022-01-02 07:00:00,Peru,Peru,PE,104.77,156.08,71.78,71.78,coes.org.pe,false,
2022-01-02 08:00:00,Peru,Peru,PE,106.07,157.68,71.43,71.43,coes.org.pe,false,
2022-01-02 09:00:00,Peru,Peru,PE,104.41,155.48,71.88,71.88,coes.org.pe,false,
2022-01-02 10:00:00,Peru,Peru,PE,104.98,156.35,71.73,71.73,coes.org.pe,false,
2022-01-02 11:00:00,Peru,Peru,PE,107.36,159.57,71.09,71.09,coes.org.pe,false,
2022-01-02 12:00:00,Peru,Peru,PE,105.78,158.11,71.51,71.51,coes.org.pe,false,
2022-01-02 13:00:00,Peru,Peru,PE,100.02,150.99,73.06,73.06,coes.org.pe,false,
2022-01-02 14:00:00,Peru,Peru,PE,96.99,147.2,73.88,73.88,coes.org.pe,false,
2022-01-02 15:00:00,Peru,Peru,PE,91.74,140.52,75.29,75.29,coes.org.pe,false,
2022-01-02 16:00:00,Peru,Peru,PE,92.89,141.93,74.98,74.98,coes.org.pe,false,
2022-01-02 17:00:00,Peru,Peru,PE,93.55,142.64,74.8,74.8,coes.org.pe,false,
2022-01-02 18:00:00,Peru,Peru,PE,94.8,144.16,74.46,74.46,coes.org.pe,false,
2022-01-02 19:00:00,Peru,Peru,PE,96.75,146.48,73.94,73.94,coes.org.pe,false,
2022-01-02 20:00:00,Peru,Peru,PE,97.09,146.75,73.85,73.85,coes.org.pe,false,
2022-01-02 21:00:00,Peru,Peru,PE,100.41,150.7,72.95,72.95,coes.org.pe,false,
