Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Poland,Poland,PL,643.45,716.29,36.59,35.64,entsoe.eu,false,
2022-01-01 01:00:00,Poland,Poland,PL,648.14,721.57,35.9,34.69,entsoe.eu,false,
2022-01-01 02:00:00,Poland,Poland,PL,663.69,737.47,34.9,33.68,entsoe.eu,false,
2022-01-01 03:00:00,Poland,Poland,PL,655.28,728.7,35.6,34.57,entsoe.eu,false,
2022-01-01 04:00:00,Poland,Poland,PL,657.7,731.08,35.41,34.17,entsoe.eu,false,
2022-01-01 05:00:00,Poland,Poland,PL,672.65,746.83,34.46,33.33,entsoe.eu,false,
2022-01-01 06:00:00,Poland,Poland,PL,676.09,750.84,34.09,33.03,entsoe.eu,false,
2022-01-01 07:00:00,Poland,Poland,PL,662.5,737.14,34.83,33.65,entsoe.eu,false,
2022-01-01 08:00:00,Poland,Poland,PL,675.23,749.84,34.11,33.15,entsoe.eu,false,
2022-01-01 09:00:00,Poland,Poland,PL,697.76,773.43,32.37,31.96,entsoe.eu,false,
2022-01-01 10:00:00,Poland,Poland,PL,714.23,790.45,30.9,29.78,entsoe.eu,false,
2022-01-01 11:00:00,Poland,Poland,PL,762.54,841.37,26.81,26.05,entsoe.eu,false,
2022-01-01 12:00:00,Poland,Poland,PL,792.06,872.71,24.24,23.09,entsoe.eu,false,
2022-01-01 13:00:00,Poland,Poland,PL,818.88,901.52,21.86,20.66,entsoe.eu,false,
2022-01-01 14:00:00,Poland,Poland,PL,860.46,946.38,18.78,18.17,entsoe.eu,false,
2022-01-01 15:00:00,Poland,Poland,PL,883.49,971.13,17.78,16.91,entsoe.eu,false,
2022-01-01 16:00:00,Poland,Poland,PL,902.63,992.24,17.56,17.03,entsoe.eu,false,
2022-01-01 17:00:00,Poland,Poland,PL,884.86,973.95,19.12,17.89,entsoe.eu,false,
2022-01-01 18:00:00,Poland,Poland,PL,874.93,964.85,19.65,18.38,entsoe.eu,false,
2022-01-01 19:00:00,Poland,Poland,PL,874.12,963.88,19.61,18.42,entsoe.eu,false,
2022-01-01 20:00:00,Poland,Poland,PL,876.38,965.83,18.4,17.05,entsoe.eu,false,
2022-01-01 21:00:00,Poland,Poland,PL,873.79,963.12,18.19,16.78,entsoe.eu,false,
2022-01-01 22:00:00,Poland,Poland,PL,850.36,938.2,18.77,17.15,entsoe.eu,false,
2022-01-01 23:00:00,Poland,Poland,PL,816.63,901.92,21.25,19.26,entsoe.eu,false,
2022-01-02 00:00:00,Poland,Poland,PL,763.75,845.71,25.91,23.66,entsoe.eu,false,
2022-01-02 01:00:00,Poland,Poland,PL,726.13,805.52,29.28,26.83,entsoe.eu,false,
2022-01-02 02:00:00,Poland,Poland,PL,701.51,778.95,31.63,29.37,entsoe.eu,false,
2022-01-02 03:00:00,Poland,Poland,PL,680.39,756.16,33.68,31.57,entsoe.eu,false,
2022-01-02 04:00:00,Poland,Poland,PL,677.05,752.23,33.97,31.94,entsoe.eu,false,
2022-01-02 05:00:00,Poland,Poland,PL,671.01,745.93,34.56,32.65,entsoe.eu,false,
2022-01-02 06:00:00,Poland,Poland,PL,668.21,742.81,34.86,32.75,entsoe.eu,false,
2022-01-02 07:00:00,Poland,Poland,PL,657.18,730.6,35.96,33.88,entsoe.eu,false,
2022-01-02 08:00:00,Poland,Poland,PL,651.07,723.98,37.82,35.88,entsoe.eu,false,
2022-01-02 09:00:00,Poland,Poland,PL,651.87,724.25,38.02,36.3,entsoe.eu,false,
2022-01-02 10:00:00,Poland,Poland,PL,643.51,715.2,38.79,37.02,entsoe.eu,false,
2022-01-02 11:00:00,Poland,Poland,PL,657.51,729.7,37.59,36.26,entsoe.eu,false,
2022-01-02 12:00:00,Poland,Poland,PL,663.62,735.92,36.82,35.38,entsoe.eu,false,
2022-01-02 13:00:00,Poland,Poland,PL,666.75,739.0,35.7,33.85,entsoe.eu,false,
2022-01-02 14:00:00,Poland,Poland,PL,670.34,742.82,35.97,34.26,entsoe.eu,false,
2022-01-02 15:00:00,Poland,Poland,PL,669.57,741.65,37.16,35.61,entsoe.eu,false,
2022-01-02 16:00:00,Poland,Poland,PL,652.78,723.53,40.05,38.89,entsoe.eu,false,
2022-01-02 17:00:00,Poland,Poland,PL,621.6,690.73,43.57,42.34,entsoe.eu,false,
2022-01-02 18:00:00,Poland,Poland,PL,608.85,676.8,43.1,41.75,entsoe.eu,false,
2022-01-02 19:00:00,Poland,Poland,PL,603.59,671.03,42.28,40.91,entsoe.eu,false,
2022-01-02 20:00:00,Poland,Poland,PL,590.02,656.45,42.57,41.47,entsoe.eu,false,
2022-01-02 21:00:00,Poland,Poland,PL,570.55,635.83,44.43,42.85,entsoe.eu,false,
2022-01-02 22:00:00,Poland,Poland,PL,564.71,629.6,44.75,43.7,entsoe.eu,false,
2022-01-02 23:00:00,Poland,Poland,PL,550.83,614.98,45.97,44.76,entsoe.eu,false,
2022-01-03 00:00:00,Poland,Poland,PL,570.95,636.8,43.95,42.69,entsoe.eu,false,
2022-01-03 01:00:00,Poland,Poland,PL,581.87,648.76,42.88,41.59,entsoe.eu,false,
2022-01-03 02:00:00,Poland,Poland,PL,600.13,668.38,41.25,39.87,entsoe.eu,false,
2022-01-03 03:00:00,Poland,Poland,PL,630.11,700.2,38.67,37.33,entsoe.eu,false,
2022-01-03 04:00:00,Poland,Poland,PL,683.14,756.56,34.05,32.91,entsoe.eu,false,
2022-01-03 05:00:00,Poland,Poland,PL,708.28,782.98,32.43,30.96,entsoe.eu,false,
2022-01-03 06:00:00,Poland,Poland,PL,756.06,833.43,28.22,26.81,entsoe.eu,false,
2022-01-03 07:00:00,Poland,Poland,PL,771.35,849.49,27.13,25.81,entsoe.eu,false,
2022-01-03 08:00:00,Poland,Poland,PL,768.59,846.12,27.23,25.94,entsoe.eu,false,
2022-01-03 09:00:00,Poland,Poland,PL,744.21,820.14,29.41,28.2,entsoe.eu,false,
2022-01-03 10:00:00,Poland,Poland,PL,727.25,801.93,31.09,29.89,entsoe.eu,false,
2022-01-03 11:00:00,Poland,Poland,PL,721.79,795.96,32.28,31.09,entsoe.eu,false,
2022-01-03 12:00:00,Poland,Poland,PL,718.67,792.38,32.41,31.23,entsoe.eu,false,
2022-01-03 13:00:00,Poland,Poland,PL,722.16,795.91,31.7,30.39,entsoe.eu,false,
2022-01-03 14:00:00,Poland,Poland,PL,728.23,802.49,32.21,30.94,entsoe.eu,false,
2022-01-03 15:00:00,Poland,Poland,PL,738.42,813.38,32.09,30.79,entsoe.eu,false,
2022-01-03 16:00:00,Poland,Poland,PL,749.95,825.76,31.33,30.07,entsoe.eu,false,
2022-01-03 17:00:00,Poland,Poland,PL,758.04,834.69,30.28,29.0,entsoe.eu,false,
2022-01-03 18:00:00,Poland,Poland,PL,761.92,838.71,28.73,27.4,entsoe.eu,false,
2022-01-03 19:00:00,Poland,Poland,PL,759.41,835.95,28.21,26.88,entsoe.eu,false,
2022-01-03 20:00:00,Poland,Poland,PL,750.28,826.19,28.74,27.42,entsoe.eu,false,
2022-01-03 21:00:00,Poland,Poland,PL,728.02,803.04,30.41,28.8,entsoe.eu,false,
2022-01-03 22:00:00,Poland,Poland,PL,704.09,778.05,32.29,30.51,entsoe.eu,false,
2022-01-03 23:00:00,Poland,Poland,PL,724.11,798.74,30.95,29.28,entsoe.eu,false,
2022-01-04 00:00:00,Poland,Poland,PL,738.53,814.42,29.57,27.98,entsoe.eu,false,
2022-01-04 01:00:00,Poland,Poland,PL,751.19,828.14,28.38,26.67,entsoe.eu,false,
2022-01-04 02:00:00,Poland,Poland,PL,747.54,824.36,28.64,26.75,entsoe.eu,false,
2022-01-04 03:00:00,Poland,Poland,PL,755.6,833.3,27.66,25.62,entsoe.eu,false,
2022-01-04 04:00:00,Poland,Poland,PL,788.12,868.13,24.46,22.84,entsoe.eu,false,
2022-01-04 05:00:00,Poland,Poland,PL,801.02,881.97,23.34,21.47,entsoe.eu,false,
2022-01-04 06:00:00,Poland,Poland,PL,834.98,917.8,20.51,18.9,entsoe.eu,false,
2022-01-04 07:00:00,Poland,Poland,PL,843.33,926.57,19.84,18.37,entsoe.eu,false,
2022-01-04 08:00:00,Poland,Poland,PL,852.48,936.79,18.8,17.43,entsoe.eu,false,
2022-01-04 09:00:00,Poland,Poland,PL,854.48,939.34,18.6,17.04,entsoe.eu,false,
2022-01-04 10:00:00,Poland,Poland,PL,861.87,947.51,18.54,17.02,entsoe.eu,false,
2022-01-04 11:00:00,Poland,Poland,PL,865.56,951.89,17.64,16.01,entsoe.eu,false,
2022-01-04 12:00:00,Poland,Poland,PL,868.8,956.09,17.09,15.41,entsoe.eu,false,
2022-01-04 13:00:00,Poland,Poland,PL,869.12,956.9,16.82,15.13,entsoe.eu,false,
2022-01-04 14:00:00,Poland,Poland,PL,870.7,958.34,16.79,15.17,entsoe.eu,false,
2022-01-04 15:00:00,Poland,Poland,PL,864.59,951.5,17.68,16.08,entsoe.eu,false,
2022-01-04 16:00:00,Poland,Poland,PL,856.26,942.42,18.8,17.27,entsoe.eu,false,
2022-01-04 17:00:00,Poland,Poland,PL,848.82,934.57,19.82,18.42,entsoe.eu,false,
2022-01-04 18:00:00,Poland,Poland,PL,827.35,911.53,20.85,19.21,entsoe.eu,false,
2022-01-04 19:00:00,Poland,Poland,PL,811.01,893.88,21.57,19.98,entsoe.eu,false,
2022-01-04 20:00:00,Poland,Poland,PL,825.14,908.07,21.44,20.07,entsoe.eu,false,
2022-01-04 21:00:00,Poland,Poland,PL,807.32,889.95,22.08,20.72,entsoe.eu,false,
2022-01-04 22:00:00,Poland,Poland,PL,769.94,850.89,24.57,22.92,entsoe.eu,false,
2022-01-04 23:00:00,Poland,Poland,PL,755.32,834.82,26.09,24.25,entsoe.eu,false,
