Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Portugal,Portugal,PT,61.36,104.84,87.91,76.68,entsoe.eu,false,
2022-01-01 01:00:00,Portugal,Portugal,PT,71.63,116.97,86.26,72.63,entsoe.eu,false,
2022-01-01 02:00:00,Portugal,Portugal,PT,79.76,126.31,84.88,70.21,entsoe.eu,false,
2022-01-01 03:00:00,Portugal,Portugal,PT,77.15,123.42,85.4,71.3,entsoe.eu,false,
2022-01-01 04:00:00,Portugal,Portugal,PT,72.45,117.58,86.22,72.21,entsoe.eu,false,
2022-01-01 05:00:00,Portugal,Portugal,PT,72.49,117.17,86.16,72.41,entsoe.eu,false,
2022-01-01 06:00:00,Portugal,Portugal,PT,72.01,116.27,86.19,73.52,entsoe.eu,false,
2022-01-01 07:00:00,Portugal,Portugal,PT,65.35,109.0,87.31,76.15,entsoe.eu,false,
2022-01-01 08:00:00,Portugal,Portugal,PT,57.04,98.25,88.89,77.46,entsoe.eu,false,
2022-01-01 09:00:00,Portugal,Portugal,PT,45.5,85.23,90.95,82.03,entsoe.eu,false,
2022-01-01 10:00:00,Portugal,Portugal,PT,43.87,84.17,91.32,83.08,entsoe.eu,false,
2022-01-01 11:00:00,Portugal,Portugal,PT,46.3,86.59,90.83,80.65,entsoe.eu,false,
2022-01-01 12:00:00,Portugal,Portugal,PT,51.6,92.08,89.89,77.69,entsoe.eu,false,
2022-01-01 13:00:00,Portugal,Portugal,PT,54.87,96.36,89.26,77.14,entsoe.eu,false,
2022-01-01 14:00:00,Portugal,Portugal,PT,56.69,98.96,89.11,77.92,entsoe.eu,false,
2022-01-01 15:00:00,Portugal,Portugal,PT,62.43,105.54,88.03,75.65,entsoe.eu,false,
2022-01-01 16:00:00,Portugal,Portugal,PT,49.75,92.38,90.01,81.27,entsoe.eu,false,
2022-01-01 17:00:00,Portugal,Portugal,PT,48.86,86.49,91.87,85.87,entsoe.eu,false,
2022-01-01 18:00:00,Portugal,Portugal,PT,49.07,84.15,92.45,87.06,entsoe.eu,false,
2022-01-01 19:00:00,Portugal,Portugal,PT,39.66,74.55,92.72,87.55,entsoe.eu,false,
2022-01-01 20:00:00,Portugal,Portugal,PT,38.39,74.05,92.37,86.8,entsoe.eu,false,
2022-01-01 21:00:00,Portugal,Portugal,PT,44.54,81.53,91.11,83.12,entsoe.eu,false,
