Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Romania,Romania,RO,290.11,335.84,63.99,40.48,entsoe.eu,false,
2022-01-01 01:00:00,Romania,Romania,RO,297.05,343.69,63.07,39.53,entsoe.eu,false,
2022-01-01 02:00:00,Romania,Romania,RO,288.12,333.88,64.16,40.45,entsoe.eu,false,
2022-01-01 03:00:00,Romania,Romania,RO,284.8,330.2,64.57,40.52,entsoe.eu,false,
2022-01-01 04:00:00,Romania,Romania,RO,284.03,329.76,64.44,39.81,entsoe.eu,false,
2022-01-01 05:00:00,Romania,Romania,RO,287.1,333.29,64.1,40.12,entsoe.eu,false,
2022-01-01 06:00:00,Romania,Romania,RO,275.87,320.88,65.5,41.74,entsoe.eu,false,
2022-01-01 07:00:00,Romania,Romania,RO,256.72,300.0,67.68,43.92,entsoe.eu,false,
2022-01-01 08:00:00,Romania,Romania,RO,259.97,303.92,67.23,43.76,entsoe.eu,false,
2022-01-01 09:00:00,Romania,Romania,RO,257.86,302.0,67.28,44.09,entsoe.eu,false,
2022-01-01 10:00:00,Romania,Romania,RO,256.73,300.88,67.42,44.35,entsoe.eu,false,
2022-01-01 11:00:00,Romania,Romania,RO,272.35,317.48,65.89,42.82,entsoe.eu,false,
2022-01-01 12:00:00,Romania,Romania,RO,289.02,335.45,64.26,40.81,entsoe.eu,false,
2022-01-01 13:00:00,Romania,Romania,RO,294.49,341.18,63.7,40.28,entsoe.eu,false,
2022-01-01 14:00:00,Romania,Romania,RO,294.8,341.2,63.7,40.24,entsoe.eu,false,
2022-01-01 15:00:00,Romania,Romania,RO,300.13,345.92,63.07,40.06,entsoe.eu,false,
2022-01-01 16:00:00,Romania,Romania,RO,292.98,338.03,63.95,41.37,entsoe.eu,false,
2022-01-01 17:00:00,Romania,Romania,RO,288.84,332.96,64.62,41.89,entsoe.eu,false,
2022-01-01 18:00:00,Romania,Romania,RO,294.04,338.76,63.96,40.96,entsoe.eu,false,
2022-01-01 19:00:00,Romania,Romania,RO,297.64,343.13,63.45,40.13,entsoe.eu,false,
2022-01-01 20:00:00,Romania,Romania,RO,293.11,338.76,63.97,40.34,entsoe.eu,false,
2022-01-01 21:00:00,Romania,Romania,RO,294.62,340.71,63.8,40.82,entsoe.eu,false,
2022-01-01 22:00:00,Romania,Romania,RO,288.14,332.77,65.15,41.99,entsoe.eu,false,
2022-01-01 23:00:00,Romania,Romania,RO,271.18,312.76,67.91,43.09,entsoe.eu,false,
2022-01-02 00:00:00,Romania,Romania,RO,257.5,297.7,69.57,45.59,entsoe.eu,false,
2022-01-02 01:00:00,Romania,Romania,RO,238.8,277.57,71.41,48.05,entsoe.eu,false,
2022-01-02 02:00:00,Romania,Romania,RO,235.95,274.22,71.87,49.17,entsoe.eu,false,
2022-01-02 03:00:00,Romania,Romania,RO,233.95,271.86,72.25,50.11,entsoe.eu,false,
2022-01-02 04:00:00,Romania,Romania,RO,217.96,254.78,73.72,51.68,entsoe.eu,false,
2022-01-02 05:00:00,Romania,Romania,RO,221.63,258.74,73.35,51.36,entsoe.eu,false,
2022-01-02 06:00:00,Romania,Romania,RO,225.84,263.11,73.11,51.89,entsoe.eu,false,
2022-01-02 07:00:00,Romania,Romania,RO,230.45,268.77,72.42,50.21,entsoe.eu,false,
2022-01-02 08:00:00,Romania,Romania,RO,232.01,271.05,71.84,47.45,entsoe.eu,false,
2022-01-02 09:00:00,Romania,Romania,RO,245.26,284.62,70.31,43.33,entsoe.eu,false,
2022-01-02 10:00:00,Romania,Romania,RO,264.76,304.04,68.21,39.08,entsoe.eu,false,
2022-01-02 11:00:00,Romania,Romania,RO,271.65,310.97,67.43,37.3,entsoe.eu,false,
