Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Serbia,Serbia,RS,439.32,485.15,42.44,33.68,entsoe.eu,false,
2022-01-01 01:00:00,Serbia,Serbia,RS,455.12,502.7,40.49,31.13,entsoe.eu,false,
2022-01-01 02:00:00,Serbia,Serbia,RS,476.35,524.93,37.59,27.75,entsoe.eu,false,
2022-01-01 03:00:00,Serbia,Serbia,RS,479.81,527.96,36.95,27.65,entsoe.eu,false,
2022-01-01 04:00:00,Serbia,Serbia,RS,476.7,524.98,37.53,28.69,entsoe.eu,false,
2022-01-01 05:00:00,Serbia,Serbia,RS,454.54,501.75,40.45,33.11,entsoe.eu,false,
2022-01-01 06:00:00,Serbia,Serbia,RS,472.84,520.58,38.17,30.98,entsoe.eu,false,
2022-01-01 07:00:00,Serbia,Serbia,RS,455.7,502.28,40.37,33.6,entsoe.eu,false,
2022-01-01 08:00:00,Serbia,Serbia,RS,434.54,479.97,43.14,36.6,entsoe.eu,false,
2022-01-01 09:00:00,Serbia,Serbia,RS,424.7,469.47,44.44,38.21,entsoe.eu,false,
2022-01-01 10:00:00,Serbia,Serbia,RS,415.77,460.12,45.56,39.67,entsoe.eu,false,
2022-01-01 11:00:00,Serbia,Serbia,RS,418.71,463.17,45.31,39.36,entsoe.eu,false,
2022-01-01 12:00:00,Serbia,Serbia,RS,422.97,467.68,44.64,39.16,entsoe.eu,false,
2022-01-01 13:00:00,Serbia,Serbia,RS,430.65,475.74,43.68,38.27,entsoe.eu,false,
2022-01-01 14:00:00,Serbia,Serbia,RS,430.43,475.21,43.57,38.46,entsoe.eu,false,
2022-01-01 15:00:00,Serbia,Serbia,RS,411.97,455.48,46.16,41.35,entsoe.eu,false,
2022-01-01 16:00:00,Serbia,Serbia,RS,393.28,435.96,48.69,43.92,entsoe.eu,false,
2022-01-01 17:00:00,Serbia,Serbia,RS,399.87,442.71,47.9,43.1,entsoe.eu,false,
2022-01-01 18:00:00,Serbia,Serbia,RS,398.46,441.31,48.08,43.19,entsoe.eu,false,
2022-01-01 19:00:00,Serbia,Serbia,RS,403.92,447.2,47.38,41.85,entsoe.eu,false,
2022-01-01 20:00:00,Serbia,Serbia,RS,398.08,441.57,47.96,41.87,entsoe.eu,false,
2022-01-01 21:00:00,Serbia,Serbia,RS,406.51,450.7,46.97,40.06,entsoe.eu,false,
2022-01-01 22:00:00,Serbia,Serbia,RS,412.84,457.23,46.25,38.85,entsoe.eu,false,
2022-01-01 23:00:00,Serbia,Serbia,RS,415.62,457.63,45.72,35.36,entsoe.eu,false,
2022-01-02 00:00:00,Serbia,Serbia,RS,431.93,474.23,43.51,32.73,entsoe.eu,false,
2022-01-02 01:00:00,Serbia,Serbia,RS,453.22,498.32,40.69,30.29,entsoe.eu,false,
2022-01-02 02:00:00,Serbia,Serbia,RS,465.06,512.32,39.15,28.94,entsoe.eu,false,
2022-01-02 03:00:00,Serbia,Serbia,RS,461.54,508.95,39.55,30.18,entsoe.eu,false,
2022-01-02 04:00:00,Serbia,Serbia,RS,466.33,513.34,39.07,29.92,entsoe.eu,false,
2022-01-02 05:00:00,Serbia,Serbia,RS,439.41,485.01,42.55,35.29,entsoe.eu,false,
2022-01-02 06:00:00,Serbia,Serbia,RS,431.45,476.92,43.52,36.34,entsoe.eu,false,
2022-01-02 07:00:00,Serbia,Serbia,RS,415.15,459.75,45.54,38.24,entsoe.eu,false,
2022-01-02 08:00:00,Serbia,Serbia,RS,402.34,442.97,46.81,39.89,entsoe.eu,false,
2022-01-02 09:00:00,Serbia,Serbia,RS,404.84,445.34,46.68,38.5,entsoe.eu,false,
2022-01-02 10:00:00,Serbia,Serbia,RS,410.45,444.12,45.16,37.13,entsoe.eu,false,
2022-01-02 11:00:00,Serbia,Serbia,RS,418.28,455.37,44.32,36.53,entsoe.eu,false,
2022-01-02 12:00:00,Serbia,Serbia,RS,426.76,462.46,42.91,35.28,entsoe.eu,false,
2022-01-02 13:00:00,Serbia,Serbia,RS,439.76,474.8,41.4,33.13,entsoe.eu,false,
2022-01-02 14:00:00,Serbia,Serbia,RS,443.44,478.73,40.91,34.04,entsoe.eu,false,
2022-01-02 15:00:00,Serbia,Serbia,RS,428.62,457.88,42.62,36.59,entsoe.eu,false,
2022-01-02 16:00:00,Serbia,Serbia,RS,419.93,451.07,44.0,38.13,entsoe.eu,false,
2022-01-02 17:00:00,Serbia,Serbia,RS,415.71,447.04,44.64,38.45,entsoe.eu,false,
2022-01-02 18:00:00,Serbia,Serbia,RS,412.94,450.72,45.61,38.9,entsoe.eu,false,
2022-01-02 19:00:00,Serbia,Serbia,RS,429.96,464.56,42.97,35.69,entsoe.eu,false,
2022-01-02 20:00:00,Serbia,Serbia,RS,413.56,450.18,45.0,37.1,entsoe.eu,false,
2022-01-02 21:00:00,Serbia,Serbia,RS,403.47,438.51,46.25,37.63,entsoe.eu,false,
2022-01-02 22:00:00,Serbia,Serbia,RS,399.3,438.66,47.35,38.38,entsoe.eu,false,
2022-01-02 23:00:00,Serbia,Serbia,RS,400.11,440.37,47.51,37.9,entsoe.eu,false,
2022-01-03 00:00:00,Serbia,Serbia,RS,419.34,461.32,45.1,35.52,entsoe.eu,false,
2022-01-03 01:00:00,Serbia,Serbia,RS,440.07,482.58,42.17,31.97,entsoe.eu,false,
2022-01-03 02:00:00,Serbia,Serbia,RS,461.15,506.41,39.41,29.09,entsoe.eu,false,
2022-01-03 03:00:00,Serbia,Serbia,RS,475.49,517.63,37.19,26.76,entsoe.eu,false,
2022-01-03 04:00:00,Serbia,Serbia,RS,462.76,507.88,39.19,29.14,entsoe.eu,false,
2022-01-03 05:00:00,Serbia,Serbia,RS,447.56,492.24,41.14,33.27,entsoe.eu,false,
2022-01-03 06:00:00,Serbia,Serbia,RS,445.46,489.8,41.65,34.62,entsoe.eu,false,
2022-01-03 07:00:00,Serbia,Serbia,RS,424.28,467.35,44.54,38.29,entsoe.eu,false,
2022-01-03 08:00:00,Serbia,Serbia,RS,404.08,447.26,47.18,41.48,entsoe.eu,false,
2022-01-03 09:00:00,Serbia,Serbia,RS,402.77,444.21,47.18,41.57,entsoe.eu,false,
2022-01-03 10:00:00,Serbia,Serbia,RS,400.92,443.11,47.52,41.81,entsoe.eu,false,
2022-01-03 11:00:00,Serbia,Serbia,RS,402.77,445.29,47.37,41.66,entsoe.eu,false,
2022-01-03 12:00:00,Serbia,Serbia,RS,402.78,445.91,47.55,41.58,entsoe.eu,false,
2022-01-03 13:00:00,Serbia,Serbia,RS,416.98,460.24,45.54,39.58,entsoe.eu,false,
2022-01-03 14:00:00,Serbia,Serbia,RS,423.48,466.75,44.78,39.24,entsoe.eu,false,
