Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Slovenia,Slovenia,SI,263.58,209.93,62.5,23.75,entsoe.eu,false,
2022-01-01 01:00:00,Slovenia,Slovenia,SI,239.07,215.58,67.43,27.57,entsoe.eu,false,
2022-01-01 02:00:00,Slovenia,Slovenia,SI,238.19,219.44,67.86,26.81,entsoe.eu,false,
2022-01-01 03:00:00,Slovenia,Slovenia,SI,262.45,220.22,63.37,20.47,entsoe.eu,false,
2022-01-01 04:00:00,Slovenia,Slovenia,SI,266.82,223.69,62.55,20.43,entsoe.eu,false,
2022-01-01 05:00:00,Slovenia,Slovenia,SI,233.31,227.81,68.86,28.88,entsoe.eu,false,
2022-01-01 06:00:00,Slovenia,Slovenia,SI,313.53,235.75,53.98,16.01,entsoe.eu,false,
2022-01-01 07:00:00,Slovenia,Slovenia,SI,261.73,210.59,62.37,26.53,entsoe.eu,false,
2022-01-01 08:00:00,Slovenia,Slovenia,SI,265.87,205.86,61.07,25.34,entsoe.eu,false,
2022-01-01 09:00:00,Slovenia,Slovenia,SI,271.26,200.72,59.95,22.43,entsoe.eu,false,
2022-01-01 10:00:00,Slovenia,Slovenia,SI,218.82,186.0,69.52,32.26,entsoe.eu,false,
2022-01-01 11:00:00,Slovenia,Slovenia,SI,218.77,185.96,69.53,32.23,entsoe.eu,false,
2022-01-01 12:00:00,Slovenia,Slovenia,SI,213.95,187.31,70.93,31.3,entsoe.eu,false,
2022-01-01 13:00:00,Slovenia,Slovenia,SI,199.43,188.65,74.05,34.49,entsoe.eu,false,
2022-01-01 14:00:00,Slovenia,Slovenia,SI,225.71,200.75,73.55,36.36,entsoe.eu,false,
2022-01-01 15:00:00,Slovenia,Slovenia,SI,188.9,178.26,79.42,44.39,entsoe.eu,false,
2022-01-01 16:00:00,Slovenia,Slovenia,SI,181.56,172.7,80.07,47.46,entsoe.eu,false,
2022-01-01 17:00:00,Slovenia,Slovenia,SI,186.99,174.55,78.95,47.33,entsoe.eu,false,
2022-01-01 18:00:00,Slovenia,Slovenia,SI,189.42,175.55,78.41,47.34,entsoe.eu,false,
2022-01-01 19:00:00,Slovenia,Slovenia,SI,207.08,186.19,75.72,43.18,entsoe.eu,false,
2022-01-01 20:00:00,Slovenia,Slovenia,SI,201.95,182.8,73.57,36.48,entsoe.eu,false,
2022-01-01 21:00:00,Slovenia,Slovenia,SI,234.44,197.28,67.9,30.16,entsoe.eu,false,
2022-01-01 22:00:00,Slovenia,Slovenia,SI,247.33,212.03,66.27,25.83,entsoe.eu,false,
