Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Slovakia,Slovakia,SK,229.74,266.24,72.25,22.87,entsoe.eu,false,
2022-01-01 01:00:00,Slovakia,Slovakia,SK,223.45,260.54,72.87,23.35,entsoe.eu,false,
2022-01-01 02:00:00,Slovakia,Slovakia,SK,219.0,256.23,73.3,23.31,entsoe.eu,false,
2022-01-01 03:00:00,Slovakia,Slovakia,SK,215.15,252.2,73.64,23.62,entsoe.eu,false,
2022-01-01 04:00:00,Slovakia,Slovakia,SK,204.97,241.74,74.55,23.98,entsoe.eu,false,
2022-01-01 05:00:00,Slovakia,Slovakia,SK,188.43,224.02,76.15,24.03,entsoe.eu,false,
2022-01-01 06:00:00,Slovakia,Slovakia,SK,166.41,200.57,78.42,25.86,entsoe.eu,false,
2022-01-01 07:00:00,Slovakia,Slovakia,SK,176.18,210.82,77.8,26.74,entsoe.eu,false,
2022-01-01 08:00:00,Slovakia,Slovakia,SK,170.46,205.1,78.23,27.7,entsoe.eu,false,
2022-01-01 09:00:00,Slovakia,Slovakia,SK,135.95,167.69,81.4,27.94,entsoe.eu,false,
2022-01-01 10:00:00,Slovakia,Slovakia,SK,128.32,158.82,81.73,27.05,entsoe.eu,false,
2022-01-01 11:00:00,Slovakia,Slovakia,SK,127.01,157.38,81.85,27.66,entsoe.eu,false,
2022-01-01 12:00:00,Slovakia,Slovakia,SK,127.74,157.82,81.74,27.26,entsoe.eu,false,
2022-01-01 13:00:00,Slovakia,Slovakia,SK,132.89,162.5,82.32,29.67,entsoe.eu,false,
2022-01-01 14:00:00,Slovakia,Slovakia,SK,145.13,174.39,81.93,31.14,entsoe.eu,false,
2022-01-01 15:00:00,Slovakia,Slovakia,SK,163.67,192.08,80.63,31.73,entsoe.eu,false,
2022-01-01 16:00:00,Slovakia,Slovakia,SK,191.91,221.49,79.0,32.03,entsoe.eu,false,
2022-01-01 17:00:00,Slovakia,Slovakia,SK,198.32,227.97,78.43,31.19,entsoe.eu,false,
2022-01-01 18:00:00,Slovakia,Slovakia,SK,219.08,251.37,75.46,28.02,entsoe.eu,false,
2022-01-01 19:00:00,Slovakia,Slovakia,SK,224.67,258.18,74.23,25.98,entsoe.eu,false,
2022-01-01 20:00:00,Slovakia,Slovakia,SK,234.01,268.63,73.04,24.8,entsoe.eu,false,
2022-01-01 21:00:00,Slovakia,Slovakia,SK,221.1,255.37,74.09,25.15,entsoe.eu,false,
2022-01-01 22:00:00,Slovakia,Slovakia,SK,182.96,214.91,76.84,25.14,entsoe.eu,false,
2022-01-01 23:00:00,Slovakia,Slovakia,SK,236.06,271.74,71.89,23.33,entsoe.eu,false,
2022-01-02 00:00:00,Slovakia,Slovakia,SK,240.97,277.07,71.44,23.4,entsoe.eu,false,
2022-01-02 01:00:00,Slovakia,Slovakia,SK,221.96,257.92,73.2,24.75,entsoe.eu,false,
2022-01-02 02:00:00,Slovakia,Slovakia,SK,211.47,247.0,74.31,25.75,entsoe.eu,false,
2022-01-02 03:00:00,Slovakia,Slovakia,SK,205.26,240.53,74.8,25.62,entsoe.eu,false,
2022-01-02 04:00:00,Slovakia,Slovakia,SK,202.06,237.1,74.95,25.45,entsoe.eu,false,
2022-01-02 05:00:00,Slovakia,Slovakia,SK,203.86,239.24,74.74,24.85,entsoe.eu,false,
2022-01-02 06:00:00,Slovakia,Slovakia,SK,213.41,249.4,73.91,25.37,entsoe.eu,false,
2022-01-02 07:00:00,Slovakia,Slovakia,SK,233.19,269.96,72.27,26.27,entsoe.eu,false,
2022-01-02 08:00:00,Slovakia,Slovakia,SK,232.45,268.81,72.5,27.03,entsoe.eu,false,
2022-01-02 09:00:00,Slovakia,Slovakia,SK,226.35,262.28,73.34,28.98,entsoe.eu,false,
2022-01-02 10:00:00,Slovakia,Slovakia,SK,224.73,260.6,73.41,29.1,entsoe.eu,false,
2022-01-02 11:00:00,Slovakia,Slovakia,SK,223.94,259.73,73.42,28.79,entsoe.eu,false,
2022-01-02 12:00:00,Slovakia,Slovakia,SK,225.89,261.37,73.15,28.36,entsoe.eu,false,
2022-01-02 13:00:00,Slovakia,Slovakia,SK,244.64,281.46,71.3,27.87,entsoe.eu,false,
2022-01-02 14:00:00,Slovakia,Slovakia,SK,244.07,280.08,71.83,28.25,entsoe.eu,false,
2022-01-02 15:00:00,Slovakia,Slovakia,SK,261.03,296.66,71.35,29.53,entsoe.eu,false,
2022-01-02 16:00:00,Slovakia,Slovakia,SK,269.02,304.08,71.58,31.06,entsoe.eu,false,
2022-01-02 17:00:00,Slovakia,Slovakia,SK,255.03,289.21,72.84,31.89,entsoe.eu,false,
2022-01-02 18:00:00,Slovakia,Slovakia,SK,258.28,294.27,71.28,29.93,entsoe.eu,false,
2022-01-02 19:00:00,Slovakia,Slovakia,SK,249.76,286.12,71.21,28.52,entsoe.eu,false,
2022-01-02 20:00:00,Slovakia,Slovakia,SK,238.5,274.35,71.74,26.83,entsoe.eu,false,
2022-01-02 21:00:00,Slovakia,Slovakia,SK,241.27,277.66,71.69,26.67,entsoe.eu,false,
2022-01-02 22:00:00,Slovakia,Slovakia,SK,226.69,262.16,72.74,24.77,entsoe.eu,false,
2022-01-02 23:00:00,Slovakia,Slovakia,SK,209.33,243.36,74.25,23.73,entsoe.eu,false,
2022-01-03 00:00:00,Slovakia,Slovakia,SK,195.92,229.82,75.65,23.32,entsoe.eu,false,
2022-01-03 01:00:00,Slovakia,Slovakia,SK,196.33,230.5,75.46,23.05,entsoe.eu,false,
2022-01-03 02:00:00,Slovakia,Slovakia,SK,192.81,226.39,76.0,22.72,entsoe.eu,false,
2022-01-03 03:00:00,Slovakia,Slovakia,SK,202.68,237.01,74.87,22.57,entsoe.eu,false,
2022-01-03 04:00:00,Slovakia,Slovakia,SK,244.54,280.93,71.11,22.67,entsoe.eu,false,
2022-01-03 05:00:00,Slovakia,Slovakia,SK,277.84,316.1,68.03,24.08,entsoe.eu,false,
2022-01-03 06:00:00,Slovakia,Slovakia,SK,297.67,337.92,65.83,23.75,entsoe.eu,false,
2022-01-03 07:00:00,Slovakia,Slovakia,SK,309.86,349.55,65.58,25.06,entsoe.eu,false,
2022-01-03 08:00:00,Slovakia,Slovakia,SK,305.29,344.64,65.58,25.74,entsoe.eu,false,
2022-01-03 09:00:00,Slovakia,Slovakia,SK,276.2,316.69,66.01,25.05,entsoe.eu,false,
2022-01-03 10:00:00,Slovakia,Slovakia,SK,273.0,312.14,67.09,26.64,entsoe.eu,false,
2022-01-03 11:00:00,Slovakia,Slovakia,SK,273.78,313.39,66.87,26.32,entsoe.eu,false,
2022-01-03 12:00:00,Slovakia,Slovakia,SK,272.87,312.71,66.54,25.39,entsoe.eu,false,
2022-01-03 13:00:00,Slovakia,Slovakia,SK,287.17,327.86,65.08,23.97,entsoe.eu,false,
2022-01-03 14:00:00,Slovakia,Slovakia,SK,292.11,333.14,64.71,23.23,entsoe.eu,false,
2022-01-03 15:00:00,Slovakia,Slovakia,SK,311.58,352.19,64.22,24.93,entsoe.eu,false,
2022-01-03 16:00:00,Slovakia,Slovakia,SK,309.92,350.11,64.8,27.2,entsoe.eu,false,
2022-01-03 17:00:00,Slovakia,Slovakia,SK,316.59,356.65,64.68,26.99,entsoe.eu,false,
2022-01-03 18:00:00,Slovakia,Slovakia,SK,327.78,367.9,63.64,25.15,entsoe.eu,false,
2022-01-03 19:00:00,Slovakia,Slovakia,SK,331.21,373.39,61.43,21.74,entsoe.eu,false,
2022-01-03 20:00:00,Slovakia,Slovakia,SK,318.06,359.41,62.29,21.25,entsoe.eu,false,
2022-01-03 21:00:00,Slovakia,Slovakia,SK,303.4,344.67,63.37,20.84,entsoe.eu,false,
2022-01-03 22:00:00,Slovakia,Slovakia,SK,304.05,342.24,65.73,21.01,entsoe.eu,false,
2022-01-03 23:00:00,Slovakia,Slovakia,SK,343.73,383.67,62.52,19.7,entsoe.eu,false,
2022-01-04 00:00:00,Slovakia,Slovakia,SK,339.71,379.91,62.99,19.5,entsoe.eu,false,
2022-01-04 01:00:00,Slovakia,Slovakia,SK,332.44,372.33,63.59,19.06,entsoe.eu,false,
2022-01-04 02:00:00,Slovakia,Slovakia,SK,324.28,363.8,64.35,19.08,entsoe.eu,false,
2022-01-04 03:00:00,Slovakia,Slovakia,SK,326.21,366.27,63.91,18.88,entsoe.eu,false,
2022-01-04 04:00:00,Slovakia,Slovakia,SK,350.76,391.63,61.53,18.25,entsoe.eu,false,
2022-01-04 05:00:00,Slovakia,Slovakia,SK,362.08,403.91,59.41,18.29,entsoe.eu,false,
2022-01-04 06:00:00,Slovakia,Slovakia,SK,361.59,405.3,57.68,17.66,entsoe.eu,false,
2022-01-04 07:00:00,Slovakia,Slovakia,SK,345.53,388.84,59.22,20.82,entsoe.eu,false,
2022-01-04 08:00:00,Slovakia,Slovakia,SK,325.72,367.82,61.31,22.95,entsoe.eu,false,
2022-01-04 09:00:00,Slovakia,Slovakia,SK,327.01,369.71,60.49,21.37,entsoe.eu,false,
2022-01-04 10:00:00,Slovakia,Slovakia,SK,335.94,380.23,59.07,19.98,entsoe.eu,false,
2022-01-04 11:00:00,Slovakia,Slovakia,SK,334.02,378.72,58.54,19.25,entsoe.eu,false,
2022-01-04 12:00:00,Slovakia,Slovakia,SK,331.9,376.6,58.57,18.96,entsoe.eu,false,
2022-01-04 13:00:00,Slovakia,Slovakia,SK,332.17,377.16,58.46,18.14,entsoe.eu,false,
2022-01-04 14:00:00,Slovakia,Slovakia,SK,326.02,371.32,58.86,18.26,entsoe.eu,false,
2022-01-04 15:00:00,Slovakia,Slovakia,SK,325.98,368.32,60.5,20.56,entsoe.eu,false,
2022-01-04 16:00:00,Slovakia,Slovakia,SK,310.11,350.73,63.0,23.85,entsoe.eu,false,
2022-01-04 17:00:00,Slovakia,Slovakia,SK,325.25,367.29,61.61,23.06,entsoe.eu,false,
2022-01-04 18:00:00,Slovakia,Slovakia,SK,324.21,366.74,60.59,20.66,entsoe.eu,false,
2022-01-04 19:00:00,Slovakia,Slovakia,SK,325.09,367.38,60.65,19.61,entsoe.eu,false,
2022-01-04 20:00:00,Slovakia,Slovakia,SK,326.37,368.41,61.25,19.24,entsoe.eu,false,
2022-01-04 21:00:00,Slovakia,Slovakia,SK,320.12,362.41,61.58,18.68,entsoe.eu,false,
2022-01-04 22:00:00,Slovakia,Slovakia,SK,322.7,362.21,63.68,19.22,entsoe.eu,false,
2022-01-04 23:00:00,Slovakia,Slovakia,SK,304.37,343.98,65.5,20.35,entsoe.eu,false,
2022-01-05 00:00:00,Slovakia,Slovakia,SK,288.4,327.08,66.84,19.51,entsoe.eu,false,
2022-01-05 01:00:00,Slovakia,Slovakia,SK,272.87,310.89,68.3,19.7,entsoe.eu,false,
2022-01-05 02:00:00,Slovakia,Slovakia,SK,264.17,301.63,69.05,19.52,entsoe.eu,false,
2022-01-05 03:00:00,Slovakia,Slovakia,SK,268.13,305.42,68.67,19.4,entsoe.eu,false,
2022-01-05 04:00:00,Slovakia,Slovakia,SK,287.19,324.41,67.0,19.2,entsoe.eu,false,
2022-01-05 05:00:00,Slovakia,Slovakia,SK,300.7,337.37,65.98,21.0,entsoe.eu,false,
2022-01-05 06:00:00,Slovakia,Slovakia,SK,311.48,349.44,65.21,21.35,entsoe.eu,false,
