Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Turkey,Turkey,TR,464.62,536.57,25.25,24.49,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-01 01:00:00,Turkey,Turkey,TR,475.48,547.28,24.5,23.6,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-01 02:00:00,Turkey,Turkey,TR,482.77,555.44,23.34,22.28,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-01 03:00:00,Turkey,Turkey,TR,487.22,560.84,22.36,21.28,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-01 04:00:00,Turkey,Turkey,TR,488.84,562.77,21.86,20.99,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-01 05:00:00,Turkey,Turkey,TR,490.93,564.68,21.71,20.84,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-01 06:00:00,Turkey,Turkey,TR,488.79,563.6,21.09,20.28,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-01 07:00:00,Turkey,Turkey,TR,478.04,553.17,21.89,21.15,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-01 08:00:00,Turkey,Turkey,TR,476.46,550.71,22.58,21.88,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-01 09:00:00,Turkey,Turkey,TR,467.77,542.03,23.48,22.9,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-01 10:00:00,Turkey,Turkey,TR,456.33,529.71,25.1,24.54,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-01 11:00:00,Turkey,Turkey,TR,449.84,522.96,25.9,25.25,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-01 12:00:00,Turkey,Turkey,TR,452.72,526.53,25.14,24.5,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-01 13:00:00,Turkey,Turkey,TR,455.04,529.26,24.57,24.02,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-01 14:00:00,Turkey,Turkey,TR,451.25,526.45,24.25,23.82,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-01 15:00:00,Turkey,Turkey,TR,430.24,503.52,27.39,27.01,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-01 16:00:00,Turkey,Turkey,TR,415.13,487.1,29.58,29.17,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-01 17:00:00,Turkey,Turkey,TR,416.93,488.75,29.49,29.1,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-01 18:00:00,Turkey,Turkey,TR,421.61,493.21,29.22,28.82,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-01 19:00:00,Turkey,Turkey,TR,429.46,501.22,28.36,27.95,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-01 20:00:00,Turkey,Turkey,TR,416.43,484.79,31.91,31.47,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-01 21:00:00,Turkey,Turkey,TR,405.92,474.04,33.29,32.82,epias.com.tr,false,
2022-01-01 22:00:00,Turkey,Turkey,TR,413.08,477.72,34.84,34.26,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-01 23:00:00,Turkey,Turkey,TR,433.16,498.81,32.15,31.55,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-02 00:00:00,Turkey,Turkey,TR,448.25,514.57,30.27,29.28,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-02 01:00:00,Turkey,Turkey,TR,456.98,523.34,29.45,28.44,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-02 02:00:00,Turkey,Turkey,TR,454.25,519.86,30.24,29.16,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-02 03:00:00,Turkey,Turkey,TR,459.49,525.28,29.58,28.37,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-02 04:00:00,Turkey,Turkey,TR,461.51,529.61,27.95,26.96,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-02 05:00:00,Turkey,Turkey,TR,453.58,521.69,28.54,27.63,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-02 06:00:00,Turkey,Turkey,TR,455.56,524.16,28.03,27.15,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-02 07:00:00,Turkey,Turkey,TR,446.95,516.34,28.34,27.57,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-02 08:00:00,Turkey,Turkey,TR,428.76,497.74,30.34,29.66,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-02 09:00:00,Turkey,Turkey,TR,412.72,480.75,32.53,32.08,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-02 10:00:00,Turkey,Turkey,TR,411.16,478.66,32.86,32.52,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-02 11:00:00,Turkey,Turkey,TR,411.32,478.87,32.78,32.53,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-02 12:00:00,Turkey,Turkey,TR,409.72,477.46,32.71,32.44,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-02 13:00:00,Turkey,Turkey,TR,408.02,475.81,32.79,32.54,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-02 14:00:00,Turkey,Turkey,TR,405.2,472.41,33.33,32.99,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-02 15:00:00,Turkey,Turkey,TR,386.77,452.66,35.92,35.66,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-02 16:00:00,Turkey,Turkey,TR,372.15,436.82,38.04,37.8,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-02 17:00:00,Turkey,Turkey,TR,375.25,440.56,37.45,37.18,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-02 18:00:00,Turkey,Turkey,TR,382.78,449.1,36.17,35.85,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-02 19:00:00,Turkey,Turkey,TR,386.98,453.3,35.83,35.47,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-02 20:00:00,Turkey,Turkey,TR,381.4,445.4,37.96,37.54,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-02 21:00:00,Turkey,Turkey,TR,386.31,449.35,38.2,37.51,epias.com.tr,false,
2022-01-02 22:00:00,Turkey,Turkey,TR,407.34,472.25,34.94,34.17,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-02 23:00:00,Turkey,Turkey,TR,429.48,496.34,31.66,30.83,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-03 00:00:00,Turkey,Turkey,TR,447.46,515.94,28.91,28.1,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-03 01:00:00,Turkey,Turkey,TR,464.34,534.84,25.93,25.1,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-03 02:00:00,Turkey,Turkey,TR,470.04,541.24,24.97,24.11,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-03 03:00:00,Turkey,Turkey,TR,466.86,538.22,25.2,24.38,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-03 04:00:00,Turkey,Turkey,TR,447.01,517.72,27.44,26.7,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-03 05:00:00,Turkey,Turkey,TR,429.19,502.45,27.26,26.66,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-03 06:00:00,Turkey,Turkey,TR,397.98,471.64,29.82,29.42,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-03 07:00:00,Turkey,Turkey,TR,384.61,458.11,31.22,30.85,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-03 08:00:00,Turkey,Turkey,TR,395.21,470.66,28.94,28.59,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-03 09:00:00,Turkey,Turkey,TR,395.28,470.34,29.22,28.88,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-03 10:00:00,Turkey,Turkey,TR,406.27,481.1,28.37,27.98,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-03 11:00:00,Turkey,Turkey,TR,405.23,479.44,28.88,28.5,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-03 12:00:00,Turkey,Turkey,TR,399.12,473.68,29.24,28.87,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-03 13:00:00,Turkey,Turkey,TR,397.97,472.64,29.14,28.77,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-03 14:00:00,Turkey,Turkey,TR,389.31,463.19,30.43,30.05,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-03 15:00:00,Turkey,Turkey,TR,367.94,439.22,34.12,33.79,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-03 16:00:00,Turkey,Turkey,TR,368.54,439.11,34.36,34.05,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-03 17:00:00,Turkey,Turkey,TR,372.19,441.42,34.81,34.46,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-03 18:00:00,Turkey,Turkey,TR,380.49,450.25,33.65,33.29,epias.com.tr; ytbs.teias.gov.tr,false,
2022-01-03 19:00:00,Turkey,Turkey,TR,382.47,452.2,33.53,33.1,epias.com.tr; ytbs.teias.gov.tr,false,
