Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Uruguay,Uruguay,UY,148.03,259.6,63.54,63.54,pronos.adme.com.uy,false,
2022-01-01 01:00:00,Uruguay,Uruguay,UY,90.39,169.03,77.74,77.74,pronos.adme.com.uy,false,
2022-01-01 02:00:00,Uruguay,Uruguay,UY,64.67,129.1,84.07,84.07,pronos.adme.com.uy,false,
2022-01-01 03:00:00,Uruguay,Uruguay,UY,66.39,132.07,83.65,83.65,pronos.adme.com.uy,false,
2022-01-01 04:00:00,Uruguay,Uruguay,UY,67.06,133.43,83.48,83.48,pronos.adme.com.uy,false,
2022-01-01 05:00:00,Uruguay,Uruguay,UY,70.61,140.46,82.61,82.61,pronos.adme.com.uy,false,
2022-01-01 06:00:00,Uruguay,Uruguay,UY,71.42,141.38,82.41,82.41,pronos.adme.com.uy,false,
2022-01-01 07:00:00,Uruguay,Uruguay,UY,71.54,141.86,82.38,82.38,pronos.adme.com.uy,false,
2022-01-01 08:00:00,Uruguay,Uruguay,UY,72.19,144.36,82.22,82.22,pronos.adme.com.uy,false,
2022-01-01 09:00:00,Uruguay,Uruguay,UY,73.06,144.4,82.01,82.01,pronos.adme.com.uy,false,
2022-01-01 10:00:00,Uruguay,Uruguay,UY,96.69,187.41,76.19,76.19,pronos.adme.com.uy,false,
2022-01-01 11:00:00,Uruguay,Uruguay,UY,99.82,195.27,75.41,75.41,pronos.adme.com.uy,false,
2022-01-01 12:00:00,Uruguay,Uruguay,UY,97.31,188.94,76.03,76.03,pronos.adme.com.uy,false,
2022-01-01 13:00:00,Uruguay,Uruguay,UY,97.39,187.09,76.01,76.01,pronos.adme.com.uy,false,
2022-01-01 14:00:00,Uruguay,Uruguay,UY,94.1,178.04,76.82,76.82,pronos.adme.com.uy,false,
2022-01-01 15:00:00,Uruguay,Uruguay,UY,92.29,173.85,77.27,77.27,pronos.adme.com.uy,false,
2022-01-01 16:00:00,Uruguay,Uruguay,UY,89.47,167.09,77.96,77.96,pronos.adme.com.uy,false,
2022-01-01 17:00:00,Uruguay,Uruguay,UY,88.6,166.97,78.18,78.18,pronos.adme.com.uy,false,
2022-01-01 18:00:00,Uruguay,Uruguay,UY,90.56,168.52,77.69,77.69,pronos.adme.com.uy,false,
2022-01-01 19:00:00,Uruguay,Uruguay,UY,93.17,170.84,77.05,77.05,pronos.adme.com.uy,false,
2022-01-01 20:00:00,Uruguay,Uruguay,UY,97.48,177.55,75.99,75.99,pronos.adme.com.uy,false,
2022-01-01 21:00:00,Uruguay,Uruguay,UY,79.17,151.75,80.5,80.5,pronos.adme.com.uy,false,
2022-01-01 22:00:00,Uruguay,Uruguay,UY,61.89,125.9,84.76,84.76,pronos.adme.com.uy,false,
2022-01-01 23:00:00,Uruguay,Uruguay,UY,59.96,121.82,85.23,85.23,pronos.adme.com.uy,false,
2022-01-02 00:00:00,Uruguay,Uruguay,UY,52.95,111.22,86.96,86.96,pronos.adme.com.uy,false,
2022-01-02 01:00:00,Uruguay,Uruguay,UY,109.96,202.35,72.92,72.92,pronos.adme.com.uy,false,
2022-01-02 02:00:00,Uruguay,Uruguay,UY,152.79,269.39,62.37,62.37,pronos.adme.com.uy,false,
2022-01-02 03:00:00,Uruguay,Uruguay,UY,114.55,211.22,71.79,71.79,pronos.adme.com.uy,false,
2022-01-02 04:00:00,Uruguay,Uruguay,UY,91.73,174.8,77.41,77.41,pronos.adme.com.uy,false,
2022-01-02 05:00:00,Uruguay,Uruguay,UY,93.82,179.27,76.89,76.89,pronos.adme.com.uy,false,
2022-01-02 06:00:00,Uruguay,Uruguay,UY,98.38,186.09,75.77,75.77,pronos.adme.com.uy,false,
2022-01-02 07:00:00,Uruguay,Uruguay,UY,91.49,175.12,77.47,77.47,pronos.adme.com.uy,false,
2022-01-02 08:00:00,Uruguay,Uruguay,UY,105.23,199.33,74.08,74.08,pronos.adme.com.uy,false,
2022-01-02 09:00:00,Uruguay,Uruguay,UY,122.48,228.69,69.83,69.83,pronos.adme.com.uy,false,
2022-01-02 10:00:00,Uruguay,Uruguay,UY,153.93,278.58,62.09,62.09,pronos.adme.com.uy,false,
2022-01-02 11:00:00,Uruguay,Uruguay,UY,161.3,293.86,60.27,60.27,pronos.adme.com.uy,false,
2022-01-02 12:00:00,Uruguay,Uruguay,UY,202.06,358.38,50.23,50.23,pronos.adme.com.uy,false,
2022-01-02 13:00:00,Uruguay,Uruguay,UY,204.58,361.86,49.61,49.61,pronos.adme.com.uy,false,
2022-01-02 14:00:00,Uruguay,Uruguay,UY,194.16,344.66,52.18,52.18,pronos.adme.com.uy,false,
2022-01-02 15:00:00,Uruguay,Uruguay,UY,197.86,350.26,51.27,51.27,pronos.adme.com.uy,false,
2022-01-02 16:00:00,Uruguay,Uruguay,UY,210.55,368.12,48.14,48.14,pronos.adme.com.uy,false,
2022-01-02 17:00:00,Uruguay,Uruguay,UY,214.59,372.54,47.15,47.15,pronos.adme.com.uy,false,
2022-01-02 18:00:00,Uruguay,Uruguay,UY,219.29,379.33,45.99,45.99,pronos.adme.com.uy,false,
2022-01-02 19:00:00,Uruguay,Uruguay,UY,224.48,386.4,44.71,44.71,pronos.adme.com.uy,false,
2022-01-02 20:00:00,Uruguay,Uruguay,UY,232.64,399.06,42.7,42.7,pronos.adme.com.uy,false,
2022-01-02 21:00:00,Uruguay,Uruguay,UY,247.94,422.44,38.93,38.93,pronos.adme.com.uy,false,
2022-01-02 22:00:00,Uruguay,Uruguay,UY,257.92,437.27,36.47,36.47,pronos.adme.com.uy,false,
2022-01-02 23:00:00,Uruguay,Uruguay,UY,257.57,436.06,36.56,36.56,pronos.adme.com.uy,false,
2022-01-03 00:00:00,Uruguay,Uruguay,UY,232.76,395.85,42.67,42.67,pronos.adme.com.uy,false,
2022-01-03 01:00:00,Uruguay,Uruguay,UY,227.8,386.52,43.89,43.89,pronos.adme.com.uy,false,
2022-01-03 02:00:00,Uruguay,Uruguay,UY,231.38,391.57,43.01,43.01,pronos.adme.com.uy,false,
2022-01-03 03:00:00,Uruguay,Uruguay,UY,222.49,378.73,45.2,45.2,pronos.adme.com.uy,false,
