Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,South Africa,South Africa,ZA,640.24,687.5,24.88,17.14,eskom.co.za,false,
2022-01-01 01:00:00,South Africa,South Africa,ZA,636.15,683.37,25.05,17.23,eskom.co.za,false,
2022-01-01 02:00:00,South Africa,South Africa,ZA,634.56,681.34,25.86,18.18,eskom.co.za,false,
2022-01-01 03:00:00,South Africa,South Africa,ZA,625.29,671.91,26.97,19.14,eskom.co.za,false,
2022-01-01 04:00:00,South Africa,South Africa,ZA,611.72,659.02,27.27,19.28,eskom.co.za,false,
2022-01-01 05:00:00,South Africa,South Africa,ZA,589.32,637.21,28.83,20.99,eskom.co.za,false,
2022-01-01 06:00:00,South Africa,South Africa,ZA,566.59,616.3,27.91,19.88,eskom.co.za,false,
2022-01-01 07:00:00,South Africa,South Africa,ZA,557.42,608.49,26.69,18.47,eskom.co.za,false,
2022-01-01 08:00:00,South Africa,South Africa,ZA,551.09,602.02,27.53,19.3,eskom.co.za,false,
2022-01-01 09:00:00,South Africa,South Africa,ZA,545.77,596.45,28.22,20.09,eskom.co.za,false,
2022-01-01 10:00:00,South Africa,South Africa,ZA,540.58,590.9,28.91,20.84,eskom.co.za,false,
2022-01-01 11:00:00,South Africa,South Africa,ZA,536.44,586.48,29.45,21.43,eskom.co.za,false,
2022-01-01 12:00:00,South Africa,South Africa,ZA,538.78,588.06,30.37,22.44,eskom.co.za,false,
2022-01-01 13:00:00,South Africa,South Africa,ZA,541.15,589.21,31.81,24.09,eskom.co.za,false,
2022-01-01 14:00:00,South Africa,South Africa,ZA,545.33,593.11,31.51,23.77,eskom.co.za,false,
2022-01-01 15:00:00,South Africa,South Africa,ZA,552.65,601.32,28.93,20.93,eskom.co.za,false,
2022-01-01 16:00:00,South Africa,South Africa,ZA,579.88,630.32,23.73,15.24,eskom.co.za,false,
2022-01-01 17:00:00,South Africa,South Africa,ZA,627.63,680.37,17.45,8.68,eskom.co.za,false,
2022-01-01 18:00:00,South Africa,South Africa,ZA,631.93,684.88,16.88,8.26,eskom.co.za,false,
2022-01-01 19:00:00,South Africa,South Africa,ZA,625.21,677.78,17.78,8.64,eskom.co.za,false,
2022-01-01 20:00:00,South Africa,South Africa,ZA,634.41,687.11,16.57,6.97,eskom.co.za,false,
2022-01-01 21:00:00,South Africa,South Africa,ZA,638.76,691.68,15.99,6.44,eskom.co.za,false,
2022-01-01 22:00:00,South Africa,South Africa,ZA,647.13,698.98,17.34,8.27,eskom.co.za,false,
2022-01-01 23:00:00,South Africa,South Africa,ZA,651.36,701.22,20.45,11.89,eskom.co.za,false,
2022-01-02 00:00:00,South Africa,South Africa,ZA,644.96,693.26,23.11,14.88,eskom.co.za,false,
2022-01-02 01:00:00,South Africa,South Africa,ZA,646.23,693.61,24.58,16.65,eskom.co.za,false,
2022-01-02 02:00:00,South Africa,South Africa,ZA,650.53,698.69,23.29,15.27,eskom.co.za,false,
2022-01-02 03:00:00,South Africa,South Africa,ZA,645.49,693.47,24.26,16.41,eskom.co.za,false,
2022-01-02 04:00:00,South Africa,South Africa,ZA,634.92,683.94,23.92,15.98,eskom.co.za,false,
2022-01-02 05:00:00,South Africa,South Africa,ZA,602.04,654.03,22.32,13.78,eskom.co.za,false,
2022-01-02 06:00:00,South Africa,South Africa,ZA,582.71,635.34,23.37,14.91,eskom.co.za,false,
2022-01-02 07:00:00,South Africa,South Africa,ZA,578.65,631.31,23.9,15.5,eskom.co.za,false,
2022-01-02 08:00:00,South Africa,South Africa,ZA,575.48,628.14,24.32,15.98,eskom.co.za,false,
2022-01-02 09:00:00,South Africa,South Africa,ZA,571.91,624.43,24.79,16.48,eskom.co.za,false,
2022-01-02 10:00:00,South Africa,South Africa,ZA,572.51,624.96,24.71,16.52,eskom.co.za,false,
2022-01-02 11:00:00,South Africa,South Africa,ZA,570.83,623.07,24.93,16.91,eskom.co.za,false,
2022-01-02 12:00:00,South Africa,South Africa,ZA,571.9,623.94,24.79,17.03,eskom.co.za,false,
2022-01-02 13:00:00,South Africa,South Africa,ZA,582.82,633.42,26.16,18.87,eskom.co.za,false,
2022-01-02 14:00:00,South Africa,South Africa,ZA,585.69,635.7,26.45,19.28,eskom.co.za,false,
2022-01-02 15:00:00,South Africa,South Africa,ZA,592.4,642.82,24.62,17.36,eskom.co.za,false,
